Bandara Utama Domestik,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bongkar/Muat Barang Angkutan Udara Dalam Negeri di 5 Bandara Utama (Ton),,,,,,,,,,,,,,,,,,,,,,,,,
,Barang yang Dibongkar,,,,,,,,,,,,,Barang yang dimuat,,,,,,,,,,,,
,2024,,,,,,,,,,,,,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,2615,2660,3507,2748,3171,3026,3346,3224,3170,3256,3548,4067,38338,2122,1401,1490,1259,1409,1282,1452,1360,1452,1347,1433,1750,17757
Soekarno Hatta-Jakarta,10201,9936,10974,9211,9755,9085,9341,9494,9439,9570,9472,10398,116876,17925,17533,21426,17519,20051,18729,19423,20065,19060,20259,20773,22744,235507
Juanda-Surabaya,1225,1234,1539,1131,1320,1176,1313,1488,1398,1324,1502,1785,16435,3423,3465,4365,3549,3797,3581,3839,4070,3825,4120,4426,4909,47369
Hasanudin-Makassar,4440,4179,5240,4630,4820,4738,4827,4801,4688,4968,5143,5807,58281,3048,3236,3211,2892,2990,2705,3042,3141,3200,3285,3231,3356,37337
Ngurah Rai-Bali,1304,1442,1626,1396,1715,1583,1754,1528,1381,1391,1444,1700,18264,646,599,686,614,621,644,694,654,571,693,661,736,7819
Bandara Lainnya,36430,35574,40255,32560,35291,34361,35178,35519,33973,37427,37763,42054,436385,29872,26905,29495,24558,24775,23873,26363,27683,25717,28447,27381,30151,325220
TOTAL,56215,55025,63141,51676,56072,53969,55759,56054,54049,57936,58872,65811,684579,57036,53139,60673,50391,53643,50814,54813,56973,53825,58151,57905,63646,671009
