Bandara Utama Internasional,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bongkar/Muat Barang Angkutan Udara Luar Negeri di 4 Bandara Utama (Ton),,,,,,,,,,,,,,,,,,,,,,,,,
,Barang yang Dibongkar,,,,,,,,,,,,,Barang yang dimuat,,,,,,,,,,,,
,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,19,25,38,33,58,44,31,43,38,39,59,63,490,72,90,146,106,90,90,112,107,185,223,265,277,1763
Soekarno Hatta-Jakarta,12583,12284,13943,10506,11982,11787,12948,13001,13981,13397,14514,11673,152599,13959,10640,11270,9017,8715,10212,9310,9465,9631,11228,11915,11736,127098
Juanda-Surabaya,315,308,411,403,705,555,571,605,470,712,768,663,6486,394,345,509,442,531,530,539,518,657,660,616,613,6354
Ngurah Rai-Bali,463,493,571,732,768,744,1045,876,1306,1523,2033,1748,12302,1182,1261,1405,1370,1164,1189,1298,1132,1424,1434,2021,1776,16656
Bandara Lainnya,857,959,1119,767,841,831,636,881,833,1184,813,875,10596,199,198,406,179,232,225,198,229,175,520,254,271,3086
TOTAL,14237,14069,16082,12441,14354,13961,15231,15406,16628,16855,18187,15022,182473,15806,12534,13736,11114,10732,12246,11457,11451,12072,14065,15071,14673,154957
