38 Provinsi,,
,Jumlah Penumpang Domestik berdasarkan Moda Transportasi Pesawat Terbang menurut provinsi (Orang),
,Datang,Berangkat
,2020,2020
ACEH,182752,200733
SUMATERA UTARA,1697499,1517032
SUMATERA BARAT,622526,581129
RIAU,704401,677570
JAMBI,295451,280952
SUMATERA SELATAN,97376,700941
BENGKULU,158894,182137
LAMPUNG,247715,322298
KEP. BANGKA BELITUNG,491641,476909
KEP. RIAU,1468100,1440754
DKI JAKARTA,1023137,979654
JAWA BARAT,252897,246308
JAWA TENGAH,946940,931432
DI YOGYAKARTA,1205226,1240239
JAWA TIMUR,3379919,2958167
BANTEN,8616161,8621796
BALI,1735403,1775528
NUSA TENGGARA BARAT,736086,652582
NUSA TENGGARA TIMUR,1056990,964074
KALIMANTAN BARAT,788543,793534
KALIMANTAN TENGAH,371648,373761
KALIMANTAN SELATAN,784125,749851
KALIMANTAN TIMUR,1770779,1399307
KALIMANTAN UTARA,237658,245611
SULAWESI UTARA,458689,453934
SULAWESI TENGAH,317995,314394
SULAWESI SELATAN,2964091,1848177
SULAWESI TENGGARA,431794,434641
GORONTALO,101993,123005
SULAWESI BARAT,26641,26976
MALUKU,383168,348833
MALUKU UTARA,206302,198868
PAPUA BARAT,565182,569446
PAPUA BARAT DAYA,-,-
PAPUA,837237,883168
PAPUA SELATAN,-,-
PAPUA TENGAH,-,-
PAPUA PEGUNUNGAN,-,-
INDONESIA,35164959,33513741
