38 Provinsi,,
,Jumlah Penumpang Internasional berdasarkan Moda Transportasi Pesawat Terbang menurut provinsi (Orang),
,Datang,Berangkat
,2020,2020
ACEH,27505,26099
SUMATERA UTARA,223518,191346
SUMATERA BARAT,32625,30090
RIAU,36047,33241
JAMBI,-,-
SUMATERA SELATAN,23052,21085
BENGKULU,-,-
LAMPUNG,-,-
KEP. BANGKA BELITUNG,3332,4025
KEP. RIAU,5987,5597
DKI JAKARTA,845,1789
JAWA BARAT,53441,51626
JAWA TENGAH,31350,28450
DI YOGYAKARTA,37458,35691
JAWA TIMUR,231254,199102
BANTEN,1517816,1523096
BALI,1182608,1356003
NUSA TENGGARA BARAT,31316,23944
NUSA TENGGARA TIMUR,1851,1892
KALIMANTAN BARAT,20328,19035
KALIMANTAN TENGAH,-,-
KALIMANTAN SELATAN,-,-
KALIMANTAN TIMUR,5012,4770
KALIMANTAN UTARA,925,993
SULAWESI UTARA,26789,21502
SULAWESI TENGAH,-,-
SULAWESI SELATAN,36697,33010
SULAWESI TENGGARA,-,-
GORONTALO,-,-
SULAWESI BARAT,-,-
MALUKU,-,14
MALUKU UTARA,-,-
PAPUA BARAT,-,-
PAPUA BARAT DAYA,-,-
PAPUA,167,121
PAPUA SELATAN,-,-
PAPUA TENGAH,-,-
PAPUA PEGUNUNGAN,-,-
INDONESIA,3529923,3612521
