Bandara Utama Domestik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumlah Penumpang Pesawat (Angkutan Udara) Domestik di 5 Bandara Utama (Orang),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keberangkatan,,,,,,,,,,,,,Kedatangan,,,,,,,,,,,,,Transit,,,,,,,,,,,,
,2024,,,,,,,,,,,,,2024,,,,,,,,,,,,,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,225772,178374,158265,230344,191394,190287,216423,190270,205372,177282,167498,188929,2320210,198706,179372,184836,225678,192714,202336,214016,189341,206099,183763,176016,244967,2397844,16630,14430,13299,13219,12690,10270,10371,7418,8818,6572,6302,8199,128218
Soekarno Hatta-Jakarta,1377314,1346856,1362594,1606572,1560672,1584802,1767891,1643381,1614542,1576731,1473972,1747097,18662424,1480626,1412384,1355273,1708263,1601700,1631671,1758303,1724914,1685953,1617089,1480323,1641262,19097761,38378,36464,31428,57703,44056,41406,34085,29585,37184,39787,45755,55547,491378
Juanda-Surabaya,407656,357400,356325,498901,498862,448073,519012,431557,435594,441084,399840,483006,5277310,431195,433919,433316,570889,446800,525882,526993,509346,486022,484438,437405,519387,5805592,53584,51253,51366,37454,56380,59261,62415,64610,58290,51197,52788,31124,629722
Hasanudin-Makassar,226312,197691,196465,267090,232896,233781,279344,242746,237863,229525,208352,246126,2798191,358450,309895,344151,429960,373186,404828,434884,398942,385734,391830,348383,437912,4618155,161742,130643,153344,169313,160024,159035,181815,164582,162566,168637,147066,167529,1926296
Ngurah Rai-Bali,404413,355648,302332,386965,413208,395723,456189,450506,423374,386797,343317,400576,4719048,364582,377460,306271,417229,433149,424236,468573,463714,427090,406344,354045,459066,4901759,16569,15929,17786,26973,21207,17576,20673,19940,17640,18242,13696,17605,223836
Bandara Lainnya,2214933,2109931,2102919,2878028,2404568,2585934,2804641,2617440,2541255,2508581,2334721,2812366,29915317,2277572,2077847,2123289,2812114,2498667,2505863,2922785,2563697,2551488,2504011,2318016,2737495,29892844,112795,94857,104480,136379,116502,121696,140746,124719,124315,103226,107317,115468,1402500
TOTAL,4856400,4545900,4478900,5867900,5301600,5438600,6043500,5575900,5458000,5320000,4927700,5878100,63692500,5111131,4790877,4747136,6164133,5546216,5694816,6325554,5849954,5742386,5587475,5114188,6040089,66713955,399698,343576,371703,441041,410859,409244,450105,410854,408813,387661,372924,395472,4801950
