Bandara Utama Domestik,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumlah Penumpang Pesawat di Bandara Utama (Orang),,,,,,,,,,,,,,,,,,,,,,,,,
,Keberangkatan pada Penerbangan Domestik,,,,,,,,,,,,,Keberangkatan pada Penerbangan Internasional,,,,,,,,,,,,
,2024,,,,,,,,,,,,,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,225772,178374,158265,230344,191394,190287,216423,190270,205372,177282,167498,-,-,91868,92782,77563,100796,90322,100076,88189,90201,95557,88873,89206,-,-
Soekarno Hatta-Jakarta,1377314,1346856,1362594,1606572,1560672,1584802,1767891,1643381,1614542,1576731,1473972,-,-,650043,623149,609907,653900,652622,653964,660180,774041,750773,726088,717749,-,-
Juanda-Surabaya,407656,357400,356325,498901,498862,448073,519012,431557,435594,441084,39984,-,-,100725,94571,84187,94411,89035,75692,83210,112990,104265,95116,93615,-,-
Hasanudin-Makassar,226312,197691,196465,267090,232896,233781,279344,242746,237863,229525,208352,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ngurah Rai-Bali,404413,355648,302332,386965,413208,395723,456189,450506,423374,386797,343317,-,-,525077,491204,487215,549136,605275,615636,659161,687823,649636,651246,558811,-,-
Bandara Lainnya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TOTAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
