Lalu Lintas Penerbangan Luar Negeri Indonesia Tahun 2003-2022,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Deskripsi,Unit,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016 ,2017,2018 ,2019,2020 ,2021,2022 
1. Pesawat,,,,,,,,,,,,,,,,,,,,,
Berangkat,Unit, 41 149, 54 481, 56 322, 56 453, 49 406, 56 255, 62 266, 70 201, 79 231, 84 962, 89 375, 106 827, 95 647, 99 054, 109 248, 119 082, 118 745, 34 018, 17 457, 47 073
Datang,Unit, 41 176, 54 233, 56 203, 55 610, 47 971, 55 786, 61 680, 70 011, 79 332, 85 179, 89 478, 107 353, 95 623, 99 189, 110 084, 118 810, 118 611, 34 069, 17 263, 47 098
2. Penumpang,,,,,,,,,,,,,,,,,,,,,
Berangkat,Orang,4 281 049,5 359 675,5 744 631,5 672 214,6 581 348,7 298 373,8 016 229,9 465 611,10 745 007,11 749 073,13 221 004,13 694 482,13 625 109,14 801 001,16 665 035,18 247 272,19 073 159,3 612 521, 631 502,7 108 207
Datang,Orang,4 214 278,5 380 779,5 812 458,5 748 730,6 552 583,7 303 343,8 068 039,9 559 458,10 829 905,11 808 006,13 136 131,13 245 568,13 175 804,14 462 373,16 253 259,17 691 252,18 460 312,3 529 923, 749 484,6 773 129
Transit,Orang, 192 482, 212 387, 301 269, 277 033, 236 943, 137 241, 229 027, 219 789, 165 509, 143 722, 122 295, 65 877, 68 809, 81 061,,, 181 994, 62 012, 3 454, 33 470
3. Barang,,,,,,,,,,,,,,,,,,,,,
Muat,Ton, 130 323, 132 447, 135 156, 141 676, 174 418, 169 181, 157 904, 178 895, 178 797, 195 181, 210 733, 206 707, 196 275, 205 419, 224 253, 212 749, 218 491, 156 846, 217 148, 179 082
Bongkar,Ton, 100 026, 100 094, 94 876, 107 567, 148 450, 150 814, 133 043, 165 554, 162 040, 196 289, 190 952, 182 545, 185 426, 188 804, 223 901, 264 138, 257 177, 171 053, 217 500, 200 806
4. Bagasi,,,,,,,,,,,,,,,,,,,,,
Muat,Ton, 56 529, 69 105, 74 282, 71 226, 83 792, 90 730, 96 713, 113 968, 97 307, 128 986, 137 140, 142 838, 145 737, 159 015, 184 036, 191 195, 190 790, 35 693, 3 686, 62 456
Bongkar,Ton, 71 719, 83 363, 92 718, 96 708, 105 785, 116 091, 122 337, 139 954, 113 106, 160 551, 172 484, 173 287, 168 707, 177 273, 208 485, 218 473, 217 467, 44 068, 6 863, 75 844
5. Pos/Paket,,,,,,,,,,,,,,,,,,,,,
Muat,Ton,  475,  463,  588,  789,  812, 1 297, 1 259, 1 070,  501,  953,  641,  955, 1 194, 2 173, 2 469, 4 414, 2 138,  785,  6,  622
Bongkar,Ton, 1 061, 1 116, 1 171, 1 696, 1 939, 1 947, 1 974, 2 360, 1 197, 2 828, 2 461, 1 923,  725,  927, 1 357, 3 477, 2 355,  608,  38,  359
,,,,,,,,,,,,,,,,,,,,,
"Sumber : PT (Persero) Angkasa Pura I dan II, Kementerian Perhubungan ",,,,,,,,,,,,,,,,,,,,,
