NO,NAMA BADAN USAHA,JENIS KEGIATAN
1,PT. AIR PASIFIK UTAMA,Penumpang
2,PT. AIRFAST INDONESIA,Penumpang
3,PT. ALDA TRANS PAPUA,Penumpang
4,PT. AMA,Penumpang
5,PT. ANGKASA SUPER SERVICE,Penumpang
6,PT. ASI PUDJIASTUTI AVIATION,Penumpang & Cargo
7,PT. ASIAN ONE AIR,Penumpang
8,PT. AVIASTAR MANDIRI,Penumpang
9,PT. CARPEDIEM AVIATION MANDIRI,Penumpang & Cargo
10,PT. DABI AIR,Penumpang
11,PT. DERAYA*),Cargo
12,PT. DERAZONA AIR SERVICE,Penumpang
13,PT. EAST INDONESIA AIR TAXI AND CHARTER SERVICE (EASTINDO),Penumpang
14,PT. EKSPRES TRANSPORTASI ANTAR BENUA,Penumpang
15,PT. ELANG LINTAS INDONESIA,Penumpang
16,PT. ELANG NUSANTARA AIR,Penumpang
17,PT. ENGGANG AIR SERVICE,Penumpang
18,PT. ERSA EASTERN AVIATION,Penumpang
19,PT. GATARI AIR SERVICE,Penumpang
20,PT. GARUDA INDONESIA (PERSERO) Tbk,Penumpang & Cargo
21,PT. HEVILIFT AVIATION INDONESIA,Penumpang
22,PT. INDO STAR AVIATION,Penumpang
23,PT. INDONESIA TRANSPORT & INFRASTRUCTURE Tbk.,Penumpang
24,PT. INTAN ANGKASA AIR SERVICE,Penumpang
25,PT. JAYAWIJAYA DIRGANTARA,Penumpang & Cargo
26,PT. JHONLIN AIR TRANSPORT,Penumpang
27,PT. KOMALA INDONESIA,Penumpang & Cargo
28,PT. MARTA BUANA ABADI (Dimonim Air),Penumpang & Cargo
29,PT. MATTHEW AIR NUSANTARA,Penumpang
30,PT. NATIONAL UTILITY HELICOPTERS,Penumpang
31,PT. PEGASUS AIR SERVICES,Penumpang
32,PT. PELITA AIR SERVICE,Penumpang & Cargo
33,PT. PENERBANGAN ANGKASA SEMESTA,Penumpang
34,PT. PURA WISATA BARUNA,Penumpang
35,PT. SAYAP GARUDA INDAH,Penumpang
36,PT. SEMUWA AVIASI MANDIRI,Penumpang & Cargo
37,PT. SMART CAKRAWALA AVIATION,Penumpang
38,PT. SPIRIT AVIA SENTOSA,Penumpang
39,PT. SURYA AIR,Penumpang
40,PT. TRANSNUSA AVIATION MANDIRI,Penumpang & Cargo
41,PT. TRANSWISATA PRIMA AVIATION,Penumpang
42,PT. TRAVIRA AIR,Penumpang
43,PT. TRI-MG INTRA ASIA AIRLINES,Penumpang
44,PT. TRIGANA AIR SERVICE,Penumpang & Cargo
45,PT. WESTSTAR AVIATION,Penumpang
46,PT. WHITESKY AVIATION,Penumpang
47,PT. RIMBUN ABADI AVIASI,Penumpang & Cargo
48,PT. REVEN GLOBAL AIRTRANSPOR,Penumpang & Cargo
49,PT. ALTIUS BAHARI INDONESIA,Penumpang
50,PT. WISARADA SAPANTA UTAMA,Penumpang & Cargo
