NO,NAMA PERUSAHAAN,NEGARA,JENIS KEGIATAN
1,AIR ASIA BERHARD,MALAYSIA,Penumpang
2,AIR ASIA X BERHARD,MALAYSIA,Penumpang
3,AIR CHINA LIMITED,CHINA,Penumpang
4,AIR NEW ZEALAND,SELANDIA BARU,Penumpang
5,ALL NIPPONAIRWAYS Co. Ltd,JEPANG,Penumpang
6,ASIANA AIRLINES,KOREA SELATAN,Penumpang
7,CEBU PACIFIC AIR,FILIPINA,Penumpang
8,CHINA Airlines Limited,CHINA,Penumpang
9,CHINA SOUTHERN AIRLINES Co.Ltd.,CHINA,Penumpang
10,EMIRATES AIRLINE,UAE,Penumpang
11,ETHIOPIAN AIRLINES,ETHIOPIA,Penumpang
12,ETIHAD AIRWAYS,UAE,Penumpang
13,EVA AIR,TAIWAN,Penumpang
14,FLY FIRE Sdn. Bhd.,MALAYSIA,Penumpang
15,HONGKONG AIRLINES,HONGKONG,Penumpang
16,JAPAN AIRLINES,JEPANG,Penumpang
17,JETSTAR AIRWAYS PTY LIMITED,AUSTRALIA,Penumpang
18,JETSTAR ASIA AIRWAYS Pty Ltd,SINGAPURA,Penumpang
19,KLM ROYAL DUTCH,BELANDA,Penumpang
20,MALAYSIA AIRLINES Berhad,MALAYSIA,Penumpang
21,MALINDO AIR,MALAYSIA,Penumpang
22,MASWINGS Sdn Bhd.,MALAYSIA,Penumpang
23,OMAN AIR S.A.O.C,OMAN,Penumpang
24,PHILIPINE AIR ASIA INC,FILIPINA,Penumpang
25,PHILIPINE AIRLINES INC,FILIPINA,Penumpang
26,SHANDONG AIRLINES,TIONGKOK,Penumpang
27,SICHUAN AIRLINES Co. Ltd.,TIONGKOK,Penumpang
28,THAI SMILE AIRWAYS COMPANY LIMITED,THAILAND,Penumpang
29,QANTAS AIRWAYS,AUSTRALIA,Penumpang
30,QATAR AIRWAYS Group Q.C.S.C.,QATAR,Perumpang
31,ROSSIYA AIRLINES,RUSIA,Penumpang
32,ROYAL BRUNEI AIRLINES,BRUNEI DARUSSALAM,Penumpang.
33,SAUDI ARABIAN AIRLINES,ARAB SAUDI,Penumpang
34,SINGAPORE AIRLINES Limited,SINGAPURA,Penumpang
35,SRILANKAN AIRLINES,SRILANKA,Penumpang
36,THAI AIR ASIA Co. Ltd,THAILAND,Penumpang
37,THAI AIRWAYS INTERNATIONAL PUBLIC COMPANY LTD,THAILAND,Penumpang
38,THAI LION AIR,THAILAND,Penumpang
39,TURKISH AIRLINES Inc,TURKI,Penumpang
40,UZBEKISTAN AIRWAYS,UZBEKISTAN,Penumpang
41,VIETJET AVIATION JOIN STOCK COMPANY,VIETNAM,Penumpang
42,VIETNAM AIRLINES,VIETNAM,Penumpang
43,VIRGIN AUSTRALIA INTERNATIONAL AIRLINES Pty. Ltd,AUSTRALIA,Penumpang.
44,XIAMEN AIRLINES Company Limited,CHINA,Penumpang
45,SCOOT PTE LTD,SINGAPURA,Penumpang
46,CHINA EASTERN AIRLINES,TIONGKOK,Penumpang
47,SHENZEN AIRLINES Co. Ltd.,TIONGKOK,Perumpang
48,ZHEJIANG LOONG AIRLINES CO.LTD.,TIONGKOK,Penumpang
49,LANMEI AIRLINES,TIONGKOK,Penumpang.
50,CATHAY PACIFIC Airways Ltd,HONGKONG,Penumpang dan Kargo
51,KOREAN AIR,KOREA SELATAN,Penumpang dan Kargo
52,CARGOLUX AIRLINES INTERNATIONAL S.A.,LUXEMBOURG,Kargo
53,K-MILE AIR Company Ltd,THAILAND,Kargo
54,FEDERAL EXPRESS,USA,Kargo
55,RAYA AIRWAYS Sbn. Bhd.,MALAYSIA,Kargo
56,WORD CARGO AIRLINES SDN. BHD.,MALAYSIA,Kargo
