NO,NAMA BADAN USAHA,JENIS KEGIATAN
1,PT. AIR PASIFIK UTAMA,Penumpang
2,PT. ALDA TRANS PAPUA,Penumpang
3,PT. ANGKASA SUPER SERVICE,Penumpang
4,PT. ASIAN ONE AIR,Penumpang
5,PT. DERAZONA AIR SERVICE,Penumpang
6,PT. EKSPRES TRANSPORTASI ANTAR BENJA,Penumpang
7,PT. ELANG LINTAS INDONESIA,Penumpang
8,PT. ELANG NUSANTARA AIR,Penumpang
9,"PT. INDO STAR AVIATION""""",Penumpang
10,PT INTAN ANGKASA AIR SERVICE,Penumpang
11,PT. JHONLIN AIR TRANSPORT,Penumpang
12,PT. MATTHEW AIR NUSANTARA,Penumpang
13,PT. NATIONAL UTILITY HELICOPTERS,Penumpang
14,PT. PEGASUS AIR SERVICES,Penumpang
15,PT. PENERBANGAN ANGKASA SEMESTA,Penumpang
16,PT. PURAWISATA BARUNA,Penumpang
17,PT. SAYAP GARUDA INDAH,Penumpang
18,PT. SPIRIT AVIA SENTOSA,Penumpang
19,PT. SURYA AIR,Penumpang
20,PT. TRANSWISATA PRIMA AVIATION,Penumpang
21,PT. TRI-MG INTRA ASIA AIRLINES,Penumpang
22,PT. WESTSTAR AVIATION,Penumpang
23,PT. WHITESKY AVIATION,Penumpang
24,PT. ALTIUS BAHARI INDONESIA,Penumparig
25,PT. AIRFAST INDONESIA,Penumpang dan Kargo
26,PT. AMA,Penumpang dan Kargo
27,PT. DABI AIR,Penumpang dan Kargo
28,PT. ASI PUDJIASTUTI AVIATION,Penumpang dan Kargo
29,PT. CARPEDIEM AVIATION MANDIRI,Penumpang dan Kargo
30,PT. ERSA EASTERN AVIATION,Penumpang dan Kargo
31,PT. GARUDA INDONESIA (PERSERO) Tbk,Penumpang dan Kargo
32,PT. JAYAWIJAYA DIRGANTARA,Penumpang dan Kargo
33,PT. KOMALA INDONESIA,Penumpang dan Kargo
34,PT. MARTA BUANA ABADI (Dimonim Air),Penumpang dan Kargo
35,PT. PELITA AIR SEVICE,Penumpang dan Kargo
36,PT. SEMUWA AVIASI MANDIRI,Penumpang dan Kargo
37,PT. TRIGANA AIR SERVICE,Penumpang dan Kargo
38,PT. RIMBUN ABADI AVIASI,Penumpang dan Kargo
39,PT. REVEN GLOBAL AIRTRANSPOR,Penumpang dan Kargo
40,PT. WISARADA SAPANTA UTAMA,Penumpang dan Kargo
41,PT. VOLTA PASIFIK AVIASI,Penumpang dan Kargo
42,PT. JET EKSEKUTIF TRAVYA,Penumpang dan Kargo
43,PT. INDONESIA AIR TRANSPORT,Penumpang dan Kargo
44,PT. ZAVERYNA UTAMA,Penumpang dan Kargo
45,PT. GENESA DIRGANTARA,Penumpang dan Kargo
46,PT NASIONAL GLOBAL AVIASI,Penumpang dan Kargo
47,PT VAST INTRA AVIA,Penumpang dan Kargo
48,PT. EASTINDO SERVICES (EAST INDONESIA AIR TAXI AND CHARTER SERVICE),Penumpang dan Kargo
49,PT. SMART CAKRAWALA AVIATION,Penumpang dan Kargo
50,PT. TRAVIRA AIR,Penumpang dan Kargo
51,PT. REFFLES GLOBAL ANGKASA,Kargo
52,PT. DERAYA,Kargo
53,PT ABADI MEGA ANGKUTAN NUSANTARA,Kargo
54,PT EXPRESS CARGO AIRLINES,Kargo
