NO,NAMA BADAN USAHA,JENIS KEGIATAN
1,PT SUPER AIR JET,Penumpang dan Kargo
2,PT PELITA AIR SERVICE,Penumpang dan Kargo
3,PT CITILINK INDONESIA,Penumpang dan Kargo
4,PT GARUDA INDONESIA (Persero) Tbk,Penumpang dan Kargo
5,PT TRANSNUSA AVIATION MANDIRI,Penumpang dan Kargo
6,PT TRIGANA AIR SERVICE,Penumpang dan Kargo
7,PT LINKAVIASI ASIA INDONESIA,Penumpang dan Kargo
8,PT SURYA MATARAM AVIASI,Penumpang dan Kargo
9,PT BBN AIRLINES INDONESIA,Penumpang dan Kargo
10,PT ASI PUDJIASTUTI AVIATION,Penumpang
11,PT BATIK AIR INDONESIA,Penumpang
12,PT INDONESIA AIRASIA,Penumpang
13,PT LION MENTARI AIRLINES,Penumpang
14,PT NAM AIR,Penumpang
15,PT SRIWIJAYA AIR,Penumpang
16,PT WINGS ABADI,Penumpang
17,PT MY INDO AIRLINES,Kargo
18,PT CARDIG AIR,Kargo
19,PT TRI - M.G. INTRA ASIA AIRLINES,Kargo
20,PT RUSKY AERO INDONESIA,Kargo
