NO,NAMA PERUSAHAAN
1,PT AERO FLYER INSTITUTE
2,PT ANGKASA SUPER SERVICES
3,PT AGRONUSA DIRGANTARA
4,PT AVIATERRA DINΑΜΙΚΑ
5,PT AVIASI SOLUSI PRIMA
6,PT BALI WIDYA DIRGANTARA
7,PT BANDUNG INTERNASIONAL AVIATION
8,PT DIRGANTARA INDONESIA (PERSERO)
9,PT GENESA DIRGANTARA
10,PT GLOBAL AVIASI
11,PT LOMBOK INSTITUTE OF FLIGHT TECHNOLOGY
12,PT MITRA AVIASI PERKASA
13,PT MERPATI TRAINING CENTER
14,PT NUSA FLYING INTERNATIONAL
15,PT PROFLIGHT INDONESIA
16,PT SADHANA
17,PT SINAR MAS SUPER AIR
18,PT SINAR PHOENIX ANGKASA PRIMA
19,PT SPEKTRUM DATA GEOSURVEY
20,ADVENTIST AVIATION INDONESIA
21,AKADEMI PENERBANG INDONESIA BANYUWANGI (BALAI PENDIDIKAN DAN PELATIHAN PENERBANG BANYUWANGI (BP3 BANYUWANGI)
22,BALAI BESAR TEKNOLOGI MODIFIKASI CUACA BADAN PENGKAJIAN DAN PENERAPAN TEKNOLOGI BB-TMC BPPT) - BRIN (BADAN RISET DAN INOVASI NASIONAL)
23,BLU BALAI KALIBRASI FASILITAS PENERBANGAN
24,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN
25,MISSION AVIATION FELLOWSHIP (MAF)
26,PERKUMPULAN PENERBANGAN INDONESIA
27,PERKUMPULAN PENERBANGAN ALFA INDONESIA
28,POLITEKNIK PENERBANGAN CURUG
29,YAYASAN AVIASI NUSANTARA
30,YAYASAN JASA AVIASI INDONESIA
31,YAYASAN HELIVIDA
32,YAYASAN PELAYANAN PENERBANGAN TARIKU (YPPT)
33,YAYASAN PUSDIRGA
34,LINTANG AIR SERVICE
35,SMART CAKRAWALA AVIATION
