NO,KOTA
1,Abu Dhabi (AUH)
2,Addis Ababa (ADD)
3,Adelaide (ADL)
4,Amsterdam (AMS)
5,Auckland (AKL)
6,Bandar Sri Begawan (BWN)
7,Bangkok (BKK)
8,Bangkok-Don Mueang (DMK)
9,Beijing (PEK)
10,Brisbane (BNE)
11,Cairns (CNS)
12,"Catitipan, Barangay Buhangin (DVO)"
13,Changsha (CSX)
14,Chennai (MAA)
15,Colombo (CMB)
16,Darwin (DRW)
17,Dili (DIL)
18,Doha (DOH)
19,Dubai (DXB)
20,Fuzhou (FOC)
21,Geelong (AVV)
22,Guangzhou (CAN)
23,Haikou (HAK)
24,Haneda (HND)
25,Hangzhou (HGH)
26,Hanoi (HAN)
27,Ho Chi Minh City (SGN)
28,Hongkong (HKG)
29,Incheon (ICN)
30,Istanbul (IST)
31,Jeddah (JED)
32,Johor Baru (JHB)
33,Kota Kinabalu (BKI)
34,Kuala Lumpur (KUL)
35,Kuching (KCH)
36,Kunming (KMG)
37,London (LHR)
38,Malaka (MKZ)
39,Manila (MNL)
40,Medinah (MED)
41,Melbourne (MEL)
42,Muscat (MCT)
43,Nagoya (NGO)
44,Nanchang (KHN)
45,Nanjing (NKG)
46,Nanning (NNG)
47,Narita (NRT)
48,Oblast Moskwa (SVO)
49,Osaka (KIX)
50,Penang (PEN)
51,Perth (PER)
52,Phnom Penh (PNH)
53,Port Hedland (PHE)
54,Pudong (PVG)
55,Riyadh (RUH)
56,Shenzhen (SZX)
57,Singapore (SIN)
58,Subang (SZB)
59,Sydney (SYD)
60,Taipei (TPE)
61,Tashkent (TAS)
62,Tawau (TWU)
63,Wuhan (WUH)
64,Xiamen (XMN)
65,Xian (XIY)
66,Zhengshou (CGO)
