NO,RUTE (ASAL),RUTE (TUJUAN)
1,Pontianak (PNK),Palangkaraya (PKY)
2,Timika (TIM),Manado (MDC)
3,Balikpapan (BPN),Bandung (BDO)
4,Jakarta (CGK),Tanjung Redeb (BEJ)
5,Jakarta (CGK),Majalengka (KJT)
6,Solo (SOC),Pangkal Pinang (PGK)
7,Surabaya (SUB),Pekanbaru (PKU)
8,Makassar (UPG),Majalengka (KJT)
9,Makassar (UPG),TRT
10,Yogyakarta (YIA),"Praya, Lombok (LOP)"
11,Denpasar (DPS),Bandung (BDO)
12,Manokwari (MKW),Biak (BIK)
13,Padang Pariaman (PDG),Balikpapan (BPN)
14,Yogyakarta (YIA),Padang Pariaman (PDG)
15,Serui (ZRI),Jayapura (DJJ)
16,Ruteng (RTG),Kupang (KOE)
17,Solo (SOC),Samarinda (AAP)
18,Solo (SOC),Palembang (PLM)
19,Semarang (SRG),Sampit (SMQ)
20,Surabaya (SUB),Jayapura (DJJ)
21,Makassar (UPG),Selayar (KSR)
22,Yogyakarta (YIA),Pekanbaru (PKU)
23,Banjarmasin (BDJ),Samarinda (AAP)
24,Medan (KNO),Bandung (BDO)
25,Namrole (NRE),Ambon (AMQ)
26,Pangkalan Bun (PKN),Banjarmasin (BDJ)
27,Solo (SOC),Pontianak (PNK)
28,Makassar (UPG),Bandung (BDO)
29,Makassar (UPG),KXB
30,Bandung (BDO),Banjarmasin (BDJ)
31,Moa (JIO),Ambon (AMQ)
32,Pangkalan Bun (PKN),Yogyakarta (JOG)
33,Sabu (SAU),Kupang (KOE)
34,Ternate (TTE),Sanana (SQN)
35,Yogyakarta (YIA),Jambi (DJB)
36,Lewoleba (LWE),Kupang (KOE)
37,Pekanbaru (PKU),Bandung (BDO)
38,Solo (SOC),Balikpapan (BPN)
39,Ternate (TTE),Surabaya (SUB)
40,Makassar (UPG),Ampana (OJU)
41,Sampit (SMQ),Banjarmasin (BDJ)
42,Sanana (SQN),Ambon (AMQ)
43,Bandar Lampung (TKG),Peakon Serai (TFY)
44,Yogyakarta (YIA),Bandar Lampung (TKG)
45,Balikpapan (BPN),Banjarmasin (BDJ)
46,Jakarta (CGK),Banjarmasin (BDJ)
47,Jakarta (CGK),Jambi (DJB)
48,Jakarta (CGK),Kendari (KDI)
49,Jakarta (CGK),Manado (MDC)
50,Jakarta (CGK),Palembang (PLM)
51,Jakarta (CGK),Timika (TIM)
52,Jambi (DJB),Bandung (BDO)
53,Denpasar (DPS),Alor (ARD)
54,Melak (GHS),Samarinda (AAP)
55,Jakarta-HLP (HLP),PANGANDARAN (CJN)
56,Yogyakarta (JOG),Bandung (BDO)
57,Majalengka (KJT),Balikpapan (BPN)
58,Medan (KNO),Siborong-borong (DTB)
59,Kupang (KOE),Alor (ARD)
60,Labuhan Bajo (LBJ),Ende (ENE)
61,"Praya, Lombok (LOP)",Yogyakarta (JOG)
62,Manado (MDC),Balikpapan (BPN)
63,Merauke (MKQ),Jayapura (DJJ)
64,Melangguane (MNA),KEP.TALAUD (IAX)
65,Nabire (NBX),Ambon (AMQ)
66,Morotai (OTI),Manado (MDC)
67,Padang Pariaman (PDG),Medan (KNO)
68,Pekanbaru (PKU),Jambi (DJB)
69,Palangkaraya (PKY),Pangkalan Bun (PKN)
70,Palembang (PLM),Yogyakarta (JOG)
71,Palu (PLW),Luwuk (LUW)
72,Sampit (SMQ),Pangkalan Bun (PKN)
73,Solo (SOC),Jakarta-HLP (HLP)
74,Sorong (SOQ),Fak-fak (FKQ)
75,Semarang (SRG),Banjarmasin (BDJ)
76,Semarang (SRG),Pangkalan Bun (PKN)
77,Surabaya (SUB),Balikpapan (BPN)
78,Surabaya (SUB),Kendari (KDI)
79,Surabaya (SUB),Pangkalan Bun (PKN)
80,Surabaya (SUB),Sorong (SOQ)
81,Bandar Lampung (TKG),Bandung (BDO)
82,Toli-toli (TLI),Palu (PLW)
83,Tanjung Pinang (TNJ),Matak (MWK)
84,Ternate (TTE),Ambon (AMQ)
85,Buol (UOL),Palu (PLW)
86,Makassar (UPG),Batulicin (BTW)
87,Makassar (UPG),Kendari (KDI)
88,Makassar (UPG),Manado (MDC)
89,Makassar (UPG),Pontianak (PNK)
90,Makassar (UPG),Tarakan (TRK)
91,Wangi-Wangi (WNI),Kendari (KDI)
92,Yogyakarta (YIA),Medan (KNO)
93,Yogyakarta (YIA),Tarakan (TRK)
94,Jakarta (CGK),Jayapura (DJJ)
95,Jakarta (CGK),Manokwari (MKW)
96,Jakarta (CGK),Palu (PLW)
97,Jakarta (CGK),Tanjung Pandan
98,Jambi (DJB),Batam (BTH)
99,Denpasar (DPS),Banjarmasin (BDJ)
100,Melak (GHS),Balikpapan (BPN)
101,Jakarta-HLP (HLP),Cilacap (CXP)
102,Yogyakarta (JOG),Balikpapan (BPN)
103,Majalengka (KJT),Batam (BTH)
104,Medan (KNO),Dumai (DUM)
105,Kupang (KOE),Bajawa (BJW)
106,Labuhan Bajo (LBJ),Kupang (KOE)
107,"Praya, Lombok (LOP)",Majalengka (KJT)
108,Manado (MDC),Denpasar (DPS)
109,Merauke (MKQ),Mappi (KEI)
110,Melangguane (MNA),Manado (MDC)
111,Nabire (NBX),Biak (BIK)
112,Padang Pariaman (PDG),Bengkulu (BKS)
113,Pangkal Pinang (PGK),Bandung (BDO)
114,Pekanbaru (PKU),Dumai (DUM)
115,Palembang (PLM),Bandung (BDO)
116,Palembang (PLM),Medan (KNO)
117,Palu (PLW),Morowali (MOH)
118,Putu Sibau (PSU),Pontianak (PNK)
119,Sampit (SMQ),Palangkaraya (PKY)
120,Sorong (SOQ),Kaimana (KNG)
121,Semarang (SRG),Bandung (BDO)
122,Semarang (SRG),Palembang (PLM)
123,Surabaya (SUB),Batam (BTH)
124,Surabaya (SUB),Majalengka (KJT)
125,Surabaya (SUB),Semarang (SRG)
126,Timika (TIM),Nabire (NBX)
127,Bandar Lampung (TKG),Bengkulu (BKS)
128,Tambolaka (TMC),Denpasar (DPS)
129,Tanjung Pinang (TNJ),Pekanbaru (PKU)
130,Ternate (TTE),Labuha (LAH)
131,Makassar (UPG),Samarinda (AAP)
132,Makassar (UPG),Bau Bau (BUW)
133,Makassar (UPG),Mamuju (MJU)
134,Makassar (UPG),Poso (PSJ)
135,Yogyakarta (YIA),Samarinda (AAP)
136,Yogyakarta (YIA),Makassar (UPG)
137,Balikpapan (BPN),Tanjung Redeb (BEJ)
138,Jakarta (CGK),Bengkulu (BKS)
139,Jakarta (CGK),Denpasar (DPS)
140,Jakarta (CGK),Medan (KNO)
141,Jakarta (CGK),Malang (MLG)
142,Jakarta (CGK),Pontianak (PNK)
143,Jakarta (CGK),Bandar Lampung (TKG)
144,Jambi (DJB),Bungo (BUU)
145,Jakarta-HLP (HLP),Samarinda (AAP)
146,Jakarta-HLP (HLP),Jambi (DJB)
147,Yogyakarta (JOG),Batam (BTH)
148,Majalengka (KJT),Denpasar (DPS)
149,Medan (KNO),Sibolga (FLZ)
150,Kupang (KOE),Denpasar (DPS)
151,Larantuka (LKA),Kupang (KOE)
152,"Praya, Lombok (LOP)",Labuhan Bajo (LBJ)
153,Manado (MDC),Galela (GLX)
154,Maumere (MOF),Denpasar (DPS)
155,Nabire (NBX),Jayapura (DJJ)
156,Pangkal Pinang (PGK),Batam (BTH)
157,Pekanbaru (PKU),Jakarta-HLP (HLP)
158,Palembang (PLM),Bengkulu (BKS)
159,Palembang (PLM),Lubuk Linggau (LLJ)
160,Palu (PLW),Ampana (OJU)
161,Lahat (PXA),Palembang (PLM)
162,Sinabang (SNB),Medan (KNO)
163,Solo (SOC),Palangkaraya (PKY)
164,Sorong (SOQ),Manado (MDC)
165,Semarang (SRG),Balikpapan (BPN)
166,Semarang (SRG),Pontianak (PNK)
167,Surabaya (SUB),Banyuwangi (BWX)
168,Surabaya (SUB),Medan (KNO)
169,Surabaya (SUB),Palangkaraya (PKY)
170,Sumenep (SUP),Surabaya (SUB)
171,Timika (TIM),Sorong (SOQ)
172,Bandar Lampung (TKG),Batam (BTH)
173,Tambolaka (TMC),Ende (ENE)
174,Tarakan (TRK),Balikpapan (BPN)
175,Ternate (TTE),Manado (MDC)
176,Makassar (UPG),Ambon (AMQ)
177,Makassar (UPG),Jayapura (DJJ)
178,Makassar (UPG),Kupang (KOE)
179,Makassar (UPG),Merauke (MKQ)
180,Makassar (UPG),Kolaka (PUM)
181,Makassar (UPG),Ternate (TTE)
182,Yogyakarta (YIA),Banjarmasin (BDJ)
183,Batam (BTH),Bengkulu (BKS)
184,Jakarta (CGK),Balikpapan (BPN)
185,Jakarta (CGK),Siborong-borong (DTB)
186,Jakarta (CGK),Kupang (KOE)
187,Jakarta (CGK),Padang Pariaman (PDG)
188,Jakarta (CGK),Sampit (SMQ)
189,Jakarta (CGK),Tanjung Pinang (TNJ)
190,Jayapura (DJJ),Biak (BIK)
191,Denpasar (DPS),Bima (BMU)
192,Jakarta-HLP (HLP),Ambon (AMQ)
193,Jakarta-HLP (HLP),Denpasar (DPS)
194,Yogyakarta (JOG),Denpasar (DPS)
195,Medan (KNO),Padang Sidempuan (AEG)
196,Medan (KNO),Gunung Sitoli (GNS)
197,Kupang (KOE),Ende (ENE)
198,Anambas (LMU),Batam (BTH)
199,Lhokseumawe (LSW),Medan (KNO)
200,Manado (MDC),Gorontalo (GTO)
201,Manokwari (MKW),Jayapura (DJJ)
202,Maumere (MOF),Kupang (KOE)
203,Nabire (NBX),Manokwari (MKW)
204,Padang Pariaman (PDG),Batam (BTH)
205,Pangkal Pinang (PGK),Yogyakarta (JOG)
206,Pekanbaru (PKU),Yogyakarta (JOG)
207,Palembang (PLM),Batam (BTH)
208,Palembang (PLM),Padang Pariaman (PDG)
209,Pontianak (PNK),Balikpapan (BPN)
210,Sorong (SOQ),Manokwari (MKW)
211,Semarang (SRG),Batam (BTH)
212,Surabaya (SUB),Kupang (KOE)
213,Surabaya (SUB),Palembang (PLM)
214,Sumbawa Besar (SWQ),"Praya, Lombok (LOP)"
215,Tanjung Pandan (TJQ),Bandung (BDO)
216,Bandar Lampung (TKG),Jambi (DJB)
217,Tambolaka (TMC),Kupang (KOE)
218,Tarakan (TRK),Malinau (LNU)
219,Ternate (TTE),Morotai (OTI)
220,Makassar (UPG),Banjarmasin (BDJ)
221,Makassar (UPG),Denpasar (DPS)
222,Makassar (UPG),Manokwari (MKW)
223,Makassar (UPG),Muna (RAQ)
224,Waingapu (WGP),Denpasar (DPS)
225,Yogyakarta (YIA),Balikpapan (BPN)
226,Batulicin (BTW),Banjarmasin (BDJ)
227,Jakarta (CGK),Batam (BTH)
228,Jakarta (CGK),Sibolga (FLZ)
229,Jakarta (CGK),Labuhan Bajo (LBJ)
