NO,RUTE (ASAL),RUTE (TUJUAN)
1,Denpasar (DPS),Geelong (AVV)
2,Jakarta (CGK),Addis Ababa (ADD)
3,Jakarta (CGK),Doha (DOH)
4,Denpasar (DPS),Bangkok (BKK)
5,Medan (KNO),Denpasar (DPS)
6,Solo (SOC),Haikou (HAK)
7,Yogyakarta (YIA),Kuala Lumpur (KUL)
8,Jakarta (CGK),Amsterdam (AMS)
9,Denpasar (DPS),Doha (DOH)
10,Kuala Lumpur (KUL),Majalengka (KJT)
11,Yogyakarta (YIA),Singapura (SIN)
12,Jakarta (CGK),Abu Dhabi (AUH)
13,London (LHR),Medan (KNO)
14,Shenzhen (SZX),Batam (BTH)
15,Jakarta (CGK),Riyadh (RUH)
16,Kuala Lumpur (KUL),Balikpapan (BPN)
17,Semarang (SRG),Haikou (HAK)
18,Jakarta (CGK),Hangzhou (HGH)
19,Hanoi (HAN),Denpasar (DPS)
20,Kunming (KMG),Denpasar (DPS)
21,Xian (XIY),Batam (BTH)
22,Jakarta (CGK),Colombo (CMB)
23,Medan (KNO),Amsterdam (AMS)
24,Singapura (SIN),Pekanbaru (PKU)
25,Bandar Lampung (TKG),Kuala Lumpur (KUL)
26,Jakarta (CGK),Bangkok-Don Mueang (DMK)
27,Jakarta (CGK),Haneda (HND)
28,Jakarta (CGK),Findel (LUX)
29,Jakarta (CGK),Beijing (PEK)
30,Jakarta (CGK),Sydney (SYD)
31,Denpasar (DPS),Dili (DIL)
32,Hongkong (HKG),Denpasar (DPS)
33,Medan (KNO),Bangkok-Don Mueang (DMK)
34,Kuala Lumpur (KUL),Siborong-borong (DTB)
35,Manado (MDC),Changsha (CSX)
36,Padang Pariaman (PDG),Kuala Lumpur (KUL)
37,Pekanbaru (PKU),Malaka (MKZ)
38,Singapura (SIN),Balikpapan (BPN)
39,Singapura (SIN),Palembang (PLM)
40,Surabaya (SUB),Bandar Sri Begawan (BWN)
41,Oblast Moskwa (SVO),Denpasar (DPS)
42,Taipei (TPE),Denpasar (DPS)
43,Xiamen (XMN),Denpasar (DPS)
44,Jakarta (CGK),Incheon (ICN)
45,Jakarta (CGK),Muscat (MCT)
46,Jakarta (CGK),Penang (PEN)
47,Jakarta (CGK),Subang (SZB)
48,Denpasar (DPS),Bangkok-Don Mueang (DMK)
49,Incheon (ICN),Denpasar (DPS)
50,Kuala Lumpur (KUL),Yogyakarta (JOG)
51,Manado (MDC),"Catitipan, Barangay Buhangin (DVO)"
52,Beijing (PEK),Denpasar (DPS)
53,Palembang (PLM),Kuala Lumpur (KUL)
54,Singapura (SIN),Denpasar (DPS)
55,Surabaya (SUB),Hongkong (HKG)
56,Sydney (SYD),Denpasar (DPS)
57,Tawau (TWU),Tarakan (TRK)
58,Jakarta (CGK),Dubai (DXB)
59,Jakarta (CGK),Istanbul (IST)
60,Jakarta (CGK),Medinah (MED)
61,Jakarta (CGK),Perth (PER)
62,Jakarta (CGK),Shenzhen (SZX)
63,Denpasar (DPS),Brisbane (BNE)
64,Istanbul (IST),Denpasar (DPS)
65,Medan (KNO),Jeddah (JED)
66,Medinah (MED),Balikpapan (BPN)
67,Penang (PEN),Banda Aceh (BTJ)
68,Pontianak (PNK),Kuching (KCH)
69,Singapura (SIN),Jakarta-HLP (HLP)
70,Solo (SOC),Jeddah (JED)
71,Surabaya (SUB),Jeddah (JED)
72,Subang (SZB),Batam (BTH)
73,Makassar (UPG),Jeddah (JED)
74,Jakarta (CGK),Fuzhou (FOC)
75,Jakarta (CGK),Jeddah (JED)
76,Jakarta (CGK),Melbourne (MEL)
77,Jakarta (CGK),Phnom Penh (PNH)
78,Jakarta (CGK),Tashkent (TAS)
79,Denpasar (DPS),Bandar Sri Begawan (BWN)
80,Darwin (DRW),Denpasar (DPS)
81,Jeddah (JED),Balikpapan (BPN)
82,Kupang (KOE),Dili (DIL)
83,Kuala Lumpur (KUL),Medan (KNO)
84,Medinah (MED),Medan (KNO)
85,Penang (PEN),Medan (KNO)
86,Pontianak (PNK),Kuala Lumpur (KUL)
87,Singapura (SIN),Yogyakarta (JOG)
88,Solo (SOC),Kuala Lumpur (KUL)
89,Surabaya (SUB),Johor Baru (JHB)
90,Subang (SZB),Pekanbaru (PKU)
91,Makassar (UPG),Kuala Lumpur (KUL)
92,Jakarta (CGK),Bangkok (BKK)
93,Jakarta (CGK),Haikou (HAK)
94,Jakarta (CGK),Johor Baru (JHB)
95,Jakarta (CGK),Manila (MNL)
96,Jakarta (CGK),Pudong (PVG)
97,Jakarta (CGK),Taipei (TPE)
98,Denpasar (DPS),Guangzhou (CAN)
99,Dubai (DXB),Denpasar (DPS)
100,Nanchang (KHN),Denpasar (DPS)
101,Kuala Lumpur (KUL),Bandung (BDO)
102,Melbourne (MEL),Denpasar (DPS)
103,Perth (PER),Denpasar (DPS)
104,Pudong (PVG),Denpasar (DPS)
105,Singapura (SIN),Medan (KNO)
106,Solo (SOC),Medinah (MED)
107,Surabaya (SUB),Kuala Lumpur (KUL)
108,Makassar (UPG),Singapura (SIN)
109,Jakarta (CGK),Bandar Sri Begawan (BWN)
110,Jakarta (CGK),Hanoi (HAN)
111,Jakarta (CGK),Osaka (KIX)
112,Jakarta (CGK),Nagoya (NGO)
113,Jakarta (CGK),Xiamen (XMN)
114,Denpasar (DPS),Zhengshou (CGO)
115,Fuzhou (FOC),Denpasar (DPS)
116,Osaka (KIX),Denpasar (DPS)
117,"Praya, Lombok (LOP)",Kuala Lumpur (KUL)
118,Manila (MNL),Denpasar (DPS)
119,Perth (PER),"Praya, Lombok (LOP)"
120,Pudong (PVG),Manado (MDC)
121,Singapura (SIN),"Praya, Lombok (LOP)"
122,Surabaya (SUB),Medinah (MED)
123,Shenzhen (SZX),Denpasar (DPS)
124,Wuhan (WUH),Denpasar (DPS)
125,Jakarta (CGK),Guangzhou (CAN)
126,Jakarta (CGK),Kunming (KMG)
127,Jakarta (CGK),Nanning (NNG)
128,Jakarta (CGK),Ho Chi Minh City (SGN)
129,Denpasar (DPS),Singapura (SIN)
130,Denpasar (DPS),Cairns (CNS)
131,Kuala Lumpur (KUL),Banda Aceh (BTJ)
132,Manado (MDC),Kota Kinabalu (BKI)
133,Nanjing (NKG),Denpasar (DPS)
134,Port Hedland (PHE),Denpasar (DPS)
135,Ho Chi Minh City (SGN),Denpasar (DPS)
136,Singapura (SIN),Manado (MDC)
137,Semarang (SRG),Kuala Lumpur (KUL)
138,Surabaya (SUB),Penang (PEN)
139,Tanjung Pandan (TJQ),Kuala Lumpur (KUL)
140,Jakarta (CGK),Hongkong (HKG)
141,Jakarta (CGK),Kuala Lumpur (KUL)
142,Jakarta (CGK),Narita (NRT)
143,Jakarta (CGK),Singapura (SIN)
144,Denpasar (DPS),Auckland (AKL)
145,Denpasar (DPS),Changsha (CSX)
146,Hangzhou (HGH),Denpasar (DPS)
147,Kuala Lumpur (KUL),Denpasar (DPS)
148,Manado (MDC),Guangzhou (CAN)
149,Narita (NRT),Denpasar (DPS)
150,Pekanbaru (PKU),Kuala Lumpur (KUL)
151,Singapura (SIN),Bandung (BDO)
152,Semarang (SRG),Singapura (SIN)
153,Surabaya (SUB),Singapura (SIN)
154,Xian (XIY),Denpasar (DPS)
155,Amsterdam (AMS),Denpasar (DPS)
156,Chennai (MAA),Kuala Lumpur (KUL)
157,Taipei (TPE),Singapura (SIN)
