NO,KOTA
1,Alor(ARD)
2,Ambon(AMQ)
3,Ampana(OJU)
4,Anambas(LMU)
5,Atambua(ABU)
6,Bajawa(BJW)
7,Balikpapan(BPN)
8,Banda Aceh(BTJ)
9,Bandar Lampung(TKG)
10,Bandung(BDO)
11,Banjarmasin(BDJ)
12,Banyumas(PWL)
13,Banyuwangi(BWX)
14,Batam(BTH)
15,Batulicin(BTW)
16,Bau Bau(BUW)
17,Bengkulu(BKS)
18,Biak(BIK)
19,Bima(BMU)
20,Bintuni(NTI)
21,Bungo(BUU)
22,Buol(UOL)
23,Cepu(CPF)
24,Cilacap(CXP)
25,Denpasar(DPS)
26,Dobo(DOB)
27,Dumai(DUM)
28,Ende(ENE)
29,Fak-fak(FKQ)
30,Gorontalo(GTO)
31,Gunung Sitoli(GNS)
32,Jakarta(CGK)
33,Jakarta(PCB)
34,Jakarta-HLP(HLP)
35,Jambi(DJB)
36,Jayapura(DJJ)
37,Jember(JBB)
38,Kaimana(KNG)
39,Kao(KAZ)
40,Kendari(KDI)
41,KEP.TALAUD(IAX)
42,Ketapang(KTG)
43,Kotabaru(KBU)
44,Kupang(KOE)
45,Kolaka(KXB)
46,Labuha(LAH)
47,Labuhan Bajo(LBJ)
48,Langgur(LUV)
49,Larantuka(LKA)
50,Lewoleba(LWE)
51,Lhokseumawe(LSW)
52,Lubuk Linggau(LLJ)
53,Luwuk(LUW)
54,Maba(PGQ)
55,Makassar(UPG)
56,Malang(MLG)
57,Malinau(LNU)
58,Mamuju(MJU)
59,Manado(MDC)
60,Manokwari(MKW)
61,Mappi(KEI)
62,Maumere(MOF)
63,Medan(KNO)
64,Melangguane(MNA)
65,Merauke(EWE)
66,Merauke(MKQ)
67,Meulaboh(MEQ)
68,Moa(JIO)
69,Morotai(OTI)
70,Morowali(MOH)
71,Muna(RAQ)
72,Nabire(NBX)
73,Namlea(NAM)
74,Namrole(NRE)
75,NATUNA(NTX)
76,Nunukan(NNX)
77,Oksibil(OKL)
78,Padang Pariaman(PDG)
79,Palangkaraya(PKY)
80,Palembang(PLM)
81,Palopo(Bua)(LLO)
82,Palu(PLW)
83,PANGANDARAN(CJN)
84,Pangkal Pinang(PGK)
85,Pangkalan Bun(PKN)
86,Peakon Serai(TFY)
87,Pekanbaru(PKU)
88,Pongtiku(TRT)
89,Pontianak(PNK)
90,Poso(PSJ)
91,"Praya, Lombok(LOP)"
92,Putu Sibau(PSU)
93,Rote(RTI)
94,Ruteng(RTG)
95,Samarinda(AAP)
96,Sampit(SMQ)
97,Sanana(SQN)
98,Saumlaki(SXK)
99,Selayar(KSR)
100,Semarang(SRG)
101,Serui(ZRI)
102,Sibolga(FLZ)
103,Siborong-borong(DTB)
104,Sinabang(SNB)
105,Singkep(SIQ)
106,Sintang(SQG)
107,Solo(SOC)
108,Sorong(SOQ)
109,Sumbawa Besar(SWQ)
110,Sumenep(SUP)
111,Surabaya(SUB)
112,Tahuna(NAH)
113,TAKENGON(TXE)
114,Tambelan(TBX)
115,Tambolaka(TMC)
116,Tanah Merah(TMH)
117,Tanjung Pandan(TJQ)
118,Tanjung Pinang(TNJ)
119,Tanjung Redeb(BEJ)
120,Tanjung Selor(TJS)
121,Tarakan(TRK)
122,Tasikmalaya(TSY)
123,Teluk Bintoni(BXB)
124,Ternate(TTE)
125,Timika(TIM)
126,Toli-toli(TLI)
127,Trinsing(HMS)
128,Waingapu(WGP)
129,Wamena(WMX)
130,Wangi-Wangi(WNI)
131,Yahukimo(DEX)
132,Yogyakarta(JOG)
133,Yogyakarta(YIA)
