NO,RUTE (ASAL - TUJUAN)
1,Balikpapan(BPN) - Samarinda(AAP)
2,Jakarta-HLP(HLP) - PANGANDARAN(CJN)
3,Pangkalan Bun(PKN) - Jakarta(PCB)
4,Palangkaraya(PKY) - Banjarmasin(BDJ)
5,Wangi-Wangi(WNI) - Makassar(UPG)
6,Rote(RTI) - Labuhan Bajo(LBJ)
7,Surabaya(SUB) - Cepu(CPF)
8,Tambolaka(TMC) - Labuhan Bajo(LBJ)
9,Ternate(TTE) - Labuha(LAH)
10,Serui(ZRI) - Biak(BIK)
11,Yogyakarta(JOG) - Jakarta-HLP(HLP)
12,Medan(KNO) - Denpasar(DPS)
13,NATUNA(NTX) - Anambas(LMU)
14,Pontianak(PNK) - NATUNA(NTX)
15,Singkep(SIQ) - Batam(BTH)
16,Tambelan(TBX) - Pontianak(PNK)
17,Timika(TIM) - Surabaya(SUB)
18,Singkep(SIQ) - Pekanbaru(PKU)
19,Peakon Serai(TFY) - Jakarta(PCB)
20,Bandar Lampung(TKG) - Jakarta(PCB)
21,Makassar(UPG) - Labuhan Bajo(LBJ)
22,Jakarta(PCB) - PANGANDARAN(CJN)
23,Jakarta-HLP(HLP) - Bengkulu(BKS)
24,Kaimana(KNG) - Fak-fak(FKQ)
25,Jakarta(PCB) - Cepu(CPF)
26,Sampit(SMQ) - Jakarta(PCB)
27,Ternate(TTE) - Sanana(SQN)
28,Jakarta(PCB) - Ketapang(KTG)
29,Banyumas(PWL) - Jakarta(PCB)
30,Tanjung Pinang(TNJ) - Singkep(SIQ)
31,Tasikmalaya(TSY) - Jakarta(PCB)
32,Wangi-Wangi(WNI) - Bau Bau(BUW)
33,Jakarta(PCB) - Lubuk Linggau(LLJ)
34,Sanana(SQN) - Ambon(AMQ)
35,Tanjung Pinang(TNJ) - Tambelan(TBX)
36,Jakarta(CGK) - Ambon(AMQ)
37,Jakarta(CGK) - Banyuwangi(BWX)
38,Jakarta(CGK) - Kupang(KOE)
39,Jakarta(CGK) - Pangkal Pinang(PGK)
40,Jakarta(CGK) - Solo(SOC)
41,Jakarta(CGK) - Tarakan(TRK)
42,Dobo(DOB) - Ambon(AMQ)
43,Fak-fak(FKQ) - Ambon(AMQ)
44,Yogyakarta(JOG) - Bandung(BDO)
45,Medan(KNO) - Banda Aceh(BTJ)
46,Kupang(KOE) - Atambua(ABU)
47,Labuhan Bajo(LBJ) - Ende(ENE)
48,"Praya, Lombok(LOP) - Labuhan Bajo(LBJ)"
49,Manado(MDC) - Gorontalo(GTO)
50,Manokwari(MKW) - Jayapura(DJJ)
51,Maumere(MOF) - Labuhan Bajo(LBJ)
52,Namrole(NRE) - Ambon(AMQ)
53,Padang Pariaman(PDG) - Balikpapan(BPN)
54,Palembang(PLM) - Lubuk Linggau(LLJ)
55,Pontianak(PNK) - Batam(BTH)
56,Rote(RTI) - Kupang(KOE)
57,Sinabang(SNB) - Medan(KNO)
58,Sorong(SOQ) - Fak-fak(FKQ)
59,Semarang(SRG) - Banjarmasin(BDJ)
60,Semarang(SRG) - Pontianak(PNK)
61,Surabaya(SUB) - Banyuwangi(BWX)
62,Surabaya(SUB) - Kupang(KOE)
63,Surabaya(SUB) - Palembang(PLM)
64,"Sumbawa Besar(SWQ) - Praya, Lombok(LOP)"
65,Timika(TIM) - Manado(MDC)
66,Bandar Lampung(TKG) - Batam(BTH)
67,Tambolaka(TMC) - Kupang(KOE)
68,Tarakan(TRK) - Balikpapan(BPN)
69,Ternate(TTE) - Jakarta-HLP(HLP)
70,Buol(UOL) - Palu(PLW)
71,Makassar(UPG) - Batulicin(BTW)
72,Makassar(UPG) - Kupang(KOE)
73,Makassar(UPG) - Mamuju(MJU)
74,Makassar(UPG) - Poso(PSJ)
75,Makassar(UPG) - Ternate(TTE)
76,"Yogyakarta(YIA) - Praya, Lombok(LOP)"
77,Yogyakarta(YIA) - Makassar(UPG)
78,Balikpapan(BPN) - Banjarmasin(BDJ)
79,Jakarta(CGK) - Banjarmasin(BDJ)
80,Jakarta(CGK) - Jambi(DJB)
81,Jakarta(CGK) - Labuhan Bajo(LBJ)
82,Jakarta(CGK) - Pangkalan Bun(PKN)
83,Jakarta(CGK) - Sorong(SOQ)
84,Jakarta(CGK) - Ternate(TTE)
85,Denpasar(DPS) - Banjarmasin(BDJ)
86,Fak-fak(FKQ) - Teluk Bintoni(BXB)
87,Jakarta-HLP(HLP) - Cepu(CPF)
88,Yogyakarta(JOG) - Denpasar(DPS)
89,Medan(KNO) - Jambi(DJB)
90,Kupang(KOE) - Alor(ARD)
91,Labuhan Bajo(LBJ) - Kupang(KOE)
92,Lhokseumawe(LSW) - Medan(KNO)
93,Manado(MDC) - Kao(KAZ)
94,Manokwari(MKW) - Fak-fak(FKQ)
95,Tahuna(NAH) - Manado(MDC)
96,NATUNA(NTX) - Batam(BTH)
97,Padang Pariaman(PDG) - Batam(BTH)
98,Pekanbaru(PKU) - Bandung(BDO)
99,Palangkaraya(PKY) - Balikpapan(BPN)
100,Palembang(PLM) - Pangkal Pinang(PGK)
101,Pontianak(PNK) - Ketapang(KTG)
102,Solo(SOC) - Bandung(BDO)
103,Sorong(SOQ) - Kaimana(KNG)
104,Semarang(SRG) - Bandung(BDO)
105,Surabaya(SUB) - Samarinda(AAP)
106,Surabaya(SUB) - Labuhan Bajo(LBJ)
107,Surabaya(SUB) - Palu(PLW)
108,Saumlaki(SXK) - Ambon(AMQ)
109,Timika(TIM) - Nabire(NBX)
110,Bandar Lampung(TKG) - Jambi(DJB)
111,Tarakan(TRK) - Malinau(LNU)
112,Makassar(UPG) - Samarinda(AAP)
113,Makassar(UPG) - Bau Bau(BUW)
114,Makassar(UPG) - Selayar(KSR)
115,Makassar(UPG) - Merauke(MKQ)
116,Makassar(UPG) - Muna(RAQ)
117,Waingapu(WGP) - Denpasar(DPS)
118,Yogyakarta(YIA) - Samarinda(AAP)
119,Yogyakarta(YIA) - Padang Pariaman (PDG)
120,Balikpapan(BPN) - Bandung(BDO)
121,Jakarta(CGK) - Tanjung Redeb(BEJ)
122,Jakarta(CGK) - Jayapura(DJJ)
123,Jakarta(CGK) - Lubuk Linggau(LLJ)
124,Jakarta(CGK) - Pekanbaru(PKU)
125,Jakarta(CGK) - Semarang(SRG)
126,Jakarta(CGK) - Makassar(UPG)
127,Denpasar(DPS) - Bandung(BDO)
128,Jakarta-HLP(HLP) - Samarinda(AAP)
129,Jakarta-HLP(HLP) - Cilacap(CXP)
130,Kupang(KOE) - Bajawa(BJW)
131,Larantuka(LKA) - Kupang(KOE)
132,Langgur(LUV) - Ambon(AMQ)
133,Manado(MDC) - Luwuk(LUW)
134,Manokwari(MKW) - Kaimana(KNG)
135,Tahuna(NAH) - Melangguane(MNA)
136,Padang Pariaman(PDG) - Jambi(DJB)
137,Pekanbaru(PKU) - Batam(BTH)
138,Palembang(PLM) - Bandung(BDO)
139,Palembang(PLM) - Pekanbaru(PKU)
140,Solo(SOC) - Denpasar(DPS)
141,Sorong(SOQ) - Manado(MDC)
142,Semarang(SRG) - Balikpapan(BPN)
