NO,RUTE (PP)
1,Singkep(SIQ) - Pekanbaru(PKU)
2,Ternate(TTE) - Sanana(SQN)
3,Jakarta-HLP(HLP) - Bengkulu(BKS)
4,Tanjung Pinang(TNJ) - Singkep(SIQ)
5,Tanjung Pinang(TNJ) - Tambelan(TBX)
6,Sanana(SQN) - Ambon(AMQ)
7,Wangi-Wangi(WNI) - Makassar(UPG)
8,Jakarta-HLP(HLP) - Pangandaran(CJN)
9,Palangkaraya(PKY) - Banjarmasin(BDJ)
10,Tambolaka(TMC) - Labuhan Bajo(LBJ)
11,Ternate(TTE) - Labuha(LAH)
12,Yogyakarta(JOG) - Jakarta-HLP(HLP)
13,Medan(KNO) - Denpasar(DPS)
14,NATUNA(NTX) - Anambas(LMU)
15,Pontianak(PNK) - Natuna(NTX)
16,Singkep(SIQ) - Batam(BTH)
17,Balikpapan(BPN) - Tanjung Redeb(BEJ)
18,Jakarta(CGK) - Bengkulu(BKS)
19,Jakarta(CGK) - Denpasar(DPS)
20,"Jakarta(CGK) - Praya, Lombok(LOP)"
21,Jakarta(CGK) - Palangkaraya(PKY)
22,Jakarta(CGK) - Surabaya(SUB)
23,Jakarta(CGK) - Yogyakarta(YIA)
24,Denpasar(DPS) - Bima(BMU)
25,Kotabaru(KBU) - Banjarmasin(BDJ)
26,Kupang(KOE) - Denpasar(DPS)
27,Anambas(LMU) - Batam(BTH)
28,Langgur(LUV) - Dobo(DOB)
29,Meulaboh(MEQ) - Medan(KNO)
30,Malang(MLG) - Jakarta-HLP(HLP)
31,Namlea(NAM) - Ambon(AMQ)
32,Oksibil(OKL) - Jayapura(DJJ)
33,Palu(PLW) - Balikpapan(BPN)
34,Solo(SOC) - Jakarta-HLP(HLP)
35,Sorong(SOQ) - Manokwari(MKW)
36,Semarang(SRG) - Batam(BTH)
37,Surabaya(SUB) - Banjarmasin(BDJ)
38,Surabaya(SUB) - Denpasar(DPS)
39,Surabaya(SUB) - Manado(MDC)
40,Timika(TIM) - Jayapura(DJJ)
41,Tanjung Pandan(TJQ) - Pangkal Pinang(PGK)
42,Tarakan(TRK) - Tanjung Selor(TJS)
43,Ternate(TTE) - Maba(PGQ)
44,Makassar(UPG) - Bandung(BDO)
45,Makassar(UPG) - Gorontalo(GTO)
46,Makassar(UPG) - Palopo(Bua)(LLO)
47,Makassar(UPG) - Morowali(MOH)
48,Makassar(UPG) - Surabaya(SUB)
49,Wamena(WMX) - Jayapura(DJJ)
50,Yogyakarta(YIA) - Batam(BTH)
51,Yogyakarta(YIA) - Palembang(PLM)
52,Jakarta(CGK) - Balikpapan(BPN)
53,Jakarta(CGK) - Siborong-borong(DTB)
54,Jakarta(CGK) - Manado(MDC)
55,Jakarta(CGK) - Palembang(PLM)
56,Jambi(DJB) - Batam(BTH)
