NO,KOTA
1,Abu Dhabi(AUH)
2,Adelaide(ADL)
3,Amsterdam(AMS)
4,Auckland(AKL)
5,Bandar Sri Begawan(BWN)
6,Bangalore(BLR)
7,Bangkok(BKK)
8,Bangkok-Don Mueang(DMK)
9,Beijing(PEK)
10,Brisbane(BNE)
11,Busan(PUS)
12,Cairns(CNS)
13,Cairo(CAI)
14,Canberra(CBR)
15,Chengdu(TFU)
16,Colombo(CMB)
17,DARWIN(DRW)
18,Delhi(DEL)
19,DILI(DIL)
20,Doha(DOH)
21,Dubai(DWC)
22,Dubai(DXB)
23,Fuzhou(FOC)
24,Gold Coast(OOL)
25,Guangzhou(CAN)
26,Guilin(KWL)
27,Haneda(HND)
28,Hanoi(HAN)
29,Ho Chi Minh City(SGN)
30,Hongkong(HKG)
31,Incheon(ICN)
32,Istanbul(IST)
33,Jeddah(JED)
34,Johor Baru(JHB)
35,Kota Kinabalu(BKI)
36,Kuala Lumpur(KUL)
37,KUCHING(KCH)
38,Kunming(KMG)
39,Langkawi(LGK)
40,Macau(MFM)
41,Manila(MNL)
42,Medinah(MED)
43,Melbourne(MEL)
44,Mumbai(BOM)
45,Muscat(MCT)
46,Nanning(NNG)
47,Narita(NRT)
48,Oblast Moskwa(SVO)
49,Penang(PEN)
50,Perth(PER)
51,Phnom Penh(PNH)
52,Phuket(HKT)
53,Port Moresby(POM)
54,Pudong(PVG)
55,Riyadh(RUH)
56,Shenzhen(SZX)
57,SINGAPURA(SIN)
58,Subang(SZB)
59,Sydney(SYD)
60,Taipei(TPE)
61,Tashkent(TAS)
62,Xiamen(XMN)
