NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"1.393","2.310","2.989","1.975","1.664"
2,Aircraft Departure,number,"1.308","2.146","2.703","1.736","1.540"
3,Aircraft Hours,number,"2224:24","4106:06","232","3628:09","3224:01"
4,Passenger Carried,number,"-","-","-","-","-"
5,Freight Carried,ton,"16.406","25.825","27.110","15.360","15.531"
6,Passenger KM,(000),"-","-","-","-","-"
7,Available Seat KM,(000),"-","-","-","-","-"
8,Passenger L/F,(%),"-","-","-","-","-"
9a,Ton KM Performed - Passenger,(000),"-","-","-","-","-"
9b,Ton KM Performed - Freight,(000),"16.941","27.509","30.014","17.442","16.763"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"16.941","27.509","30.014","17.442","16.763"
10,Available Ton KM,(000),"22.333","38.988","51.177","34.896","31.083"
11,Weight L/F,(%),"75,86","70,56","58,65","49,98","53,93"
