NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"-","4",".364","26.292","20.797"
2,Aircraft Departure,number,"-","3",".805","14.584","11.894"
3,Aircraft Hours,number,"3484:53","0:00","7580:36","39570:05","31724:12"
4,Passenger Carried,number,"121.485","-","429.613","1.676.952","1.488.265"
5,Freight Carried,ton,"183","-","824","3.898","3.532"
6,Passenger KM,(000),"219.334","-","481.160","2.935.121","2.568.902"
7,Available Seat KM,(000),"401.390","-","703.857","4.230.490","3.318.057"
8,Passenger L/F,(%),"-","6","8,36","69,38","77,42"
9a,Ton KM Performed - Passenger,(000),"17.981","-","38.661","240.185","210.547"
9b,Ton KM Performed - Freight,(000),"248","-","985","6.159","6.535"
9c,Ton KM Performed - Mail,(000),"48","-","26","-","-"
9d,Ton KM Performed - Total,(000),"18.277","-","39.672","246.344","217.082"
10,Available Ton KM,(000),"41.917","-","79.108","439.222","349.565"
11,Weight L/F,(%),"-","5","0,15","56,09","62,10"
