NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"1.809","112","935","5.634","5.343"
2,Aircraft Departure,number,"960","14","1.262","4.498","4.478"
3,Aircraft Hours,number,"2913:46","149:28","2132:58","8879:15","9562:58"
4,Passenger Carried,number,"72.959","778","128.675","450.641","506.515"
5,Freight Carried,ton,"50","-","331","1.721","2.807"
6,Passenger KM,(000),"132.824","6.204","97.183","529.918","558.051"
7,Available Seat KM,(000),"341.080","34.942","167.944","1.014.307","961.794"
8,Passenger L/F,(%),"38,94","17,76","57,87","52,24","58,02"
9a,Ton KM Performed - Passenger,(000),"12.813","558","8.746","51.184","54.131"
9b,Ton KM Performed - Freight,(000),"56","-","294","1.980","3.522"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"12.870","558","9.040","53.164","57.653"
10,Available Ton KM,(000),"41.651","5.024","20.486","123.744","117.338"
11,Weight L/F,(%),"30,90","11,11","44,13","42,96","49,13"
