NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"27.451","13.987","12.287","34.343","49.930"
2,Aircraft Departure,number,"7.298","3.810","3.168","10.114","13.514"
3,Aircraft Hours,number,"38065:29","19965:05","16876:05","48626:47","70015:25"
4,Passenger Carried,number,"772.568","106.806","650.834","1.567.926","2.533.902"
5,Freight Carried,ton,"57.991","69.030","23.548","38.114","69.790"
6,Passenger KM,(000),"3.588.898","422.429","2.856.373","6.955.652","10.865.257"
7,Available Seat KM,(000),"7.474.659","4.520.142","3.884.991","9.771.852","14.427.466"
8,Passenger L/F,(%),"48,01","9,35","73,52","71,18","75,31"
9a,Ton KM Performed - Passenger,(000),"358.890","42.243","285.638","556.454","865.226"
9b,Ton KM Performed - Freight,(000),"255.961","269.694","89.948","153.084","307.088"
9c,Ton KM Performed - Mail,(000),"9.776","-","-","-","-"
9d,Ton KM Performed - Total,(000),"624.627","311.937","375.586","709.538","1.172.314"
10,Available Ton KM,(000),"1.120.710","734.605","637.403","1.571.222","2.335.044"
11,Weight L/F,(%),"55,73","42,46","58,92","45,16","50,21"
