NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"11.222","1.047","14.831","41.710","49,631"
2,Aircraft Departure,number,"7.741","840","9.835","27.081","30,748"
3,Aircraft Hours,number,"17616:10","1696:10","22416:05","65434:35","77166:00:00"
4,Passenger Carried,number,"828.992","69.893","1.400.559","3.865.079","4.481.553"
5,Freight Carried,ton,"2.864","279","1.076","3.313","6,557"
6,Passenger KM,(000),"1.227.559","92.345","2.115.503","6.001.310","7.226.433"
7,Available Seat KM,(000),"2.019.932","188.505","2.669.336","7.508.196","8.933.722"
8,Passenger L/F,(%),"60,77","48,99","79,25","79,93","80,89"
9a,Ton KM Performed - Passenger,(000),"110.480","8.311","183.344","466.604","578.104"
9b,Ton KM Performed - Freight,(000),"3.435","308","1.527","4.571","11,504"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"113.915","8.619","184.871","471.175","589,608"
10,Available Ton KM,(000),"186.283","17.384","246.172","709.133","843,748"
11,Weight L/F,(%),"61,15","49,58","75,10","66,44","70,00"
