NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"3.533","281","607","2.967","2.075"
2,Aircraft Departure,number,"1.481","82","779","2.386","1.694"
3,Aircraft Hours,number,"4910:00","379:12","1157:17","4813:39:00","3344:31"
4,Passenger Carried,number,"214.095","7.371","118.941","368.929","309.458"
5,Freight Carried,ton,"353","349","145","99","27"
6,Passenger KM,(000),"807.365","28.550","99.293","495.155","528.912"
7,Available Seat KM,(000),"1.039.616","87.052","144.812","604.088","580.814"
8,Passenger L/F,(%),"77,66","32,80","68,57","81,97","91,06"
9a,Ton KM Performed - Passenger,(000),"57.323","2.027","7.052","37.019","38.410"
9b,Ton KM Performed - Freight,(000),"460","1.384","668","168","77"
9c,Ton KM Performed - Mail,(000),"875","41","82","190","614"
9d,Ton KM Performed - Total,(000),"58.658","3.452","7.802","37.377","39.101"
10,Available Ton KM,(000),"108.274","8.705","15.238","57.684","56.231"
11,Weight L/F,(%),"54,18","39,66","51,20","64,80","69,54"
