NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"753","-","370","-","-"
2,Aircraft Departure,number,"284","-","119","-","-"
3,Aircraft Hours,number,"1040:00","0:00","469:32","0:00","-"
4,Passenger Carried,number,"28.283","-","14.658","-","-"
5,Freight Carried,ton,"11","-","17","-","-"
6,Passenger KM,(000),"94.830","-","47.336","-","-"
7,Available Seat KM,(000),"143.516","-","70.065","-","-"
8,Passenger L/F,(%),"-","6","7,56","-","-"
9a,Ton KM Performed - Passenger,(000),"-","4",".260","-","-"
9b,Ton KM Performed - Freight,(000),"14","-","53","-","-"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"-","4",".313","-","-"
10,Available Ton KM,(000),"-","5",".939","-","-"
11,Weight L/F,(%),"-","7","2,62","-","-"
