NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"-","-","-","1.009","1.977"
2,Aircraft Departure,number,"-","-","-","1.318","3.150"
3,Aircraft Hours,number,"0:00","0:00","0:00","2759:55","5760:15"
4,Passenger Carried,number,"-","-","-","164.504","455.213"
5,Freight Carried,ton,"-","-","-","-","710"
6,Passenger KM,(000),"-","-","-","118.351","279.229"
7,Available Seat KM,(000),"-","-","-","181.698","355.881"
8,Passenger L/F,(%),"-","-","-","65,14","78,46"
9a,Ton KM Performed - Passenger,(000),"-","-","-","8.403","19.820"
9b,Ton KM Performed - Freight,(000),"-","-","-","-","541"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","11"
9d,Ton KM Performed - Total,(000),"-","-","-","8.403","20.372"
10,Available Ton KM,(000),"-","-","-","17.896","35.224"
11,Weight L/F,(%),"-","-","-","46,95","58,00"
