NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"18","-","-","2.254","6,839"
2,Aircraft Departure,number,"68","-","-","1.794","4,576"
3,Aircraft Hours,number,"67:42","0:00","0:00","3936:39","11572:21"
4,Passenger Carried,number,"3.499","-","-","148.726","511,312"
5,Freight Carried,ton,"23","-","-","-","-"
6,Passenger KM,(000),"952","-","-","188.357","758,786"
7,Available Seat KM,(000),"1.295","-","-","291.005","1.148.562"
8,Passenger L/F,(%),"73,51","-","-","64,73","66,06"
9a,Ton KM Performed - Passenger,(000),"81","-","-","13.185","53.113"
9b,Ton KM Performed - Freight,(000),"6","-","-","-","-"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"87","-","-","13.185","53,113"
10,Available Ton KM,(000),"122","-","-","27.339","81,419"
11,Weight L/F,(%),"71,35","-","-","48,23","65,00"
