NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"256","263","262","290","299"
2,Aircraft Departure,number,"255","264","270","292","302"
3,Aircraft Hours,number,"466:14","429:45","394:11","455:23","479:10:00"
4,Passenger Carried,number,"-","-","-","-","0"
5,Freight Carried,ton,"2.898","3.197","2.869","2.469","2,901"
6,Passenger KM,(000),"-","-","-","-","0"
7,Available Seat KM,(000),"-","-","-","-","0"
8,Passenger L/F,(%),")","-","-","-","0,00"
9a,Ton KM Performed - Passenger,(000),"-","-","-","-","0"
9b,Ton KM Performed - Freight,(000),"2.632","2.913","2.613","2.247","2,628"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","0"
9d,Ton KM Performed - Total,(000),"2.632","2.913","2.613","2.247","2,628"
10,Available Ton KM,(000),"4.174","4.280","4.390","5.088","5,253"
11,Weight L/F,(%),"63,05","68,06","59,52","44,16","50,00"
