NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"32","-","-","20","-"
2,Aircraft Departure,number,"122","-","-","106","-"
3,Aircraft Hours,number,"140:54","0:00","0:00","148:06","0:00"
4,Passenger Carried,number,"3.970","-","-","4.190","-"
5,Freight Carried,ton,"1","-","-","-","-"
6,Passenger KM,(000),"1.048","-","-","853","-"
7,Available Seat KM,(000),"2.318","-","-","1.544","-"
8,Passenger L/F,(%),"45,20","-","-","55","-"
9a,Ton KM Performed - Passenger,(000),"79","-","-","60","-"
9b,Ton KM Performed - Freight,(000),"-","-","-","-","-"
9c,Ton KM Performed - Mail,(000),"79","-","-","60","-"
9d,Ton KM Performed - Total,(000),"216","-","-","144","-"
10,Available Ton KM,(000),"36","-","-","42","-"
11,Weight L/F,(%),"-","-","-","41,22","-"
