NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"-","-","-","535","839"
2,Aircraft Departure,number,"-","-","-","466","732"
3,Aircraft Hours,number,"0:00","0:00","0:00","893:10","1403:00"
4,Passenger Carried,number,"-","-","-","43.080","75,161"
5,Freight Carried,ton,"-","2","1","7","8"
6,Passenger KM,(000),"-","-","-","49.198","85,833"
7,Available Seat KM,(000),"-","-","-","84.082","132,082"
8,Passenger L/F,(%),"-","-","5","8,51","64,98"
9a,Ton KM Performed - Passenger,(000),"-","-","3",".691","6.437"
9b,Ton KM Performed - Freight,(000),"-","2","6","8","8"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"-","-","3",".717","6,525"
10,Available Ton KM,(000),"-","-","9",".049","14,206"
11,Weight L/F,(%),"-","-","4","1,08","46,00"
