NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"-","-","-","8","73"
2,Aircraft Departure,number,"-","-","-","8","7"
3,Aircraft Hours,number,"0:00","0:00","0:00","0:00","1116:30"
4,Passenger Carried,number,"-","-","-","-","25.027"
5,Freight Carried,ton,"-","-","-","4","9"
6,Passenger KM,(000),"-","-","-","-","251.447"
7,Available Seat KM,(000),"-","-","-","-","276.211"
8,Passenger L/F,(%),"-","-","-","9","1,03"
9a,Ton KM Performed - Passenger,(000),"-","-","-","-","22.759"
9b,Ton KM Performed - Freight,(000),"-","-","-","4","91"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"-","-","-","-","23.250"
10,Available Ton KM,(000),"-","-","-","5",".246"
11,Weight L/F,(%),"-","-","-","-","443,19"
