NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"-","-","-","3","66"
2,Aircraft Departure,number,"-","-","-","-","72"
3,Aircraft Hours,number,"-","-","-","-","498:00"
4,Passenger Carried,number,"-","-","-","-","11.309"
5,Freight Carried,ton,"-","-","-","-","-"
6,Passenger KM,(000),"-","-","-","-","57.608"
7,Available Seat KM,(000),"-","-","-","-","80.690"
8,Passenger L/F,(%),"-","-","-","7","1,39"
9a,Ton KM Performed - Passenger,(000),"-","-","-","-","11.521"
9b,Ton KM Performed - Freight,(000),"-","-","-","-","-"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"-","-","-","-","11.521"
10,Available Ton KM,(000),"-","-","-","-","35.576"
11,Weight L/F,(%),"-","-","-","3","2,38"
