NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"97","2",".704","3",".578"
2,Aircraft Departure,number,"66","5","82","7","72"
3,Aircraft Hours,number,"298:30","74:10","400:45","3633:35","4811:55"
4,Passenger Carried,number,"5",".859","8","0.976","126.479"
5,Freight Carried,ton,"35","2",".313","2",".812"
6,Passenger KM,(000),"37.489","-","26.045","390.187","614.440"
7,Available Seat KM,(000),"60.912","-","73.250","554.971","806.414"
8,Passenger L/F,(%),"5,56","7","0,31","7","6,19"
9a,Ton KM Performed - Passenger,(000),"2",".083","3","1.215","49.156"
9b,Ton KM Performed - Freight,(000),"25","5","90","12.070","14.700"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"2",".673","4","3.285","63.856"
10,Available Ton KM,(000),".239","1","3.385","88.248","115.714"
11,Weight L/F,(%),"9,97","4","9,05","5","5,18"
