NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"-","-","-","74","771"
2,Aircraft Departure,number,"-","-","-","30","311"
3,Aircraft Hours,number,"0:00","0:00","0:00","146:15","1516:20"
4,Passenger Carried,number,"-","-","3",".177","34.985"
5,Freight Carried,ton,"-","-","-","9","286"
6,Passenger KM,(000),"-","-","7",".888","86.333"
7,Available Seat KM,(000),"-","-","-","11.222","116.629"
8,Passenger L/F,(%),"-","7","0,29","7","4,02"
9a,Ton KM Performed - Passenger,(000),"-","5","92","6",".479"
9b,Ton KM Performed - Freight,(000),"-","-","-","16","527"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"-","6","08","7",".007"
10,Available Ton KM,(000),"-","-","9","69","10.063"
11,Weight L/F,(%),"-","6","2,75","6","9,63"
