NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"-","-","1",".402","2.859"
2,Aircraft Departure,number,"-","-","-","208","424"
3,Aircraft Hours,number,"0:00","0:00","0:00","1768:00:00","3604:00"
4,Passenger Carried,number,"-","-","-","55.603","113.107"
5,Freight Carried,ton,"-","-","774","2",".372"
6,Passenger KM,(000),"-","-","-","374.932","762.680"
7,Available Seat KM,(000),"-","-","-","423.568","939.082"
8,Passenger L/F,(%),"-","-","8","8,52","81,22"
9a,Ton KM Performed - Passenger,(000),"-","-","-","29.995","61.017"
9b,Ton KM Performed - Freight,(000),"-","-","5",".210","15.982"
9c,Ton KM Performed - Mail,(000),"-","-","7","7","4"
9d,Ton KM Performed - Total,(000),"-","-","-","14.530","77.003"
10,Available Ton KM,(000),"-","-","-","50.490","464.624"
11,Weight L/F,(%),"-","-","2","8,78","16,57"
