NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"48","5",".195","12.868","16,196"
2,Aircraft Departure,number,"60","4",".140","13.394","16,809"
3,Aircraft Hours,number,"8436:12","100:00","8895:10","23860:50","30180:40"
4,Passenger Carried,number,".594","625.634","1",".856.082","2.495.539"
5,Freight Carried,ton,"4","41","1",".548","1,267"
6,Passenger KM,(000),".703","803.553","1",".867.610","2.436.418"
7,Available Seat KM,(000),".728","1.005.251","2",".363.684","2.926.348"
8,Passenger L/F,(%),"2,43","7","9,94","79,01","83,26"
9a,Ton KM Performed - Passenger,(000),"3","33","72.319","167.762","219.292"
9b,Ton KM Performed - Freight,(000),"5","78","1",".945","1,406"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"3","75","72.897","169.707","220,698"
10,Available Ton KM,(000),"8","05","97.063","221.019","268,925"
11,Weight L/F,(%),"6,58","7","5,10","76,78","82,00"
