NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"1","12","1",".420","2,070"
2,Aircraft Departure,number,"-","56","710","1",",035"
3,Aircraft Hours,number,"650:50","0:00","165:40","2128:20","3105:00"
4,Passenger Carried,number,"2.811","-","15.251","214.375","311,994"
5,Freight Carried,ton,"2","2","9","2","6"
6,Passenger KM,(000),"105.424","-","30.448","427.988","622,765"
7,Available Seat KM,(000),"165.571","-","41.031","534.391","778,856"
8,Passenger L/F,(%),"-","7","4,21","80,09","79,96"
9a,Ton KM Performed - Passenger,(000),"-","2",".740","38.519","56.047"
9b,Ton KM Performed - Freight,(000),"4","5","8","5","0"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"-","2",".744","38.577","56,097"
10,Available Ton KM,(000),"-","2",".828","68.037","99,168"
11,Weight L/F,(%),"9","7,03","56,7","5","7,00"
