NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"6",".774","1","1.021","11.841"
2,Aircraft Departure,number,".167","1",".903","2",".045"
3,Aircraft Hours,number,"6307:25","8059:10","8667:00","14249:05","15324:40"
4,Passenger Carried,number,"103.170","40.769","174.427","348.816","377.410"
5,Freight Carried,ton,"12.077","9",".632","1","4.016"
6,Passenger KM,(000),"598.121","236.360","1.012.796","2.019.945","2.184.605"
7,Available Seat KM,(000),"1.192.775","1.467.225","1.614.260","2.677.296","2.893.896"
8,Passenger L/F,(%),"2,74","7","5,45","7","5,49"
9a,Ton KM Performed - Passenger,(000),"1.868","16.545","70.897","141.396","152.923"
9b,Ton KM Performed - Freight,(000),"41.674","99.171","70.120","55.804","81.162"
9c,Ton KM Performed - Mail,(000),".728","1",".921","1",".928"
9d,Ton KM Performed - Total,(000),"84.791","117.624","142.745","199.121","236.013"
10,Available Ton KM,(000),"315.270","402.656","432.243","694.151","754.106"
11,Weight L/F,(%),"3,02","2","8,69","3","1,30"
