NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"2",".427","3",".805","3,803"
2,Aircraft Departure,number,"58","4","66","730","730"
3,Aircraft Hours,number,"2699:59","2568:05","3355:04","5231:06","5241:51"
4,Passenger Carried,number,"5.568","30.839","94.424","180.426","185,262"
5,Freight Carried,ton,"3",".099","3",".678","4,387"
6,Passenger KM,(000),"291.651","156.210","491.795","939.631","964,870"
7,Available Seat KM,(000),"537.234","704.699","1",".142.026","1.167.887"
8,Passenger L/F,(%),"9,08","6","9,79","82,28","82,62"
9a,Ton KM Performed - Passenger,(000),"3.332","13.100","41.803","79.869","82.010"
9b,Ton KM Performed - Freight,(000),"21.112","20.934","16.158","19.169","22,914"
9c,Ton KM Performed - Mail,(000),"-","-","1","-","-"
9d,Ton KM Performed - Total,(000),"44.444","34.034","57.962","99.038","104,924"
10,Available Ton KM,(000),"128.318","100.032","132.889","223.280","221,726"
11,Weight L/F,(%),"4,02","4","3,62","44,36","47,00"
