NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"-","5","71","499","550"
2,Aircraft Departure,number,"-","2","04","178","198"
3,Aircraft Hours,number,"0:00","0:00","1226:34","1075:12:00","1188:00"
4,Passenger Carried,number,"-","-","-","-","-"
5,Freight Carried,ton,"8",".497","5",".168","6.740"
6,Passenger KM,(000),"-","-","-","-","-"
7,Available Seat KM,(000),"-","-","-","-","-"
8,Passenger L/F,(%),"-","-","-","-","-"
9a,Ton KM Performed - Passenger,(000),"-","-","-","-","-"
9b,Ton KM Performed - Freight,(000),"-","-","28.666","17.384","22.494"
9c,Ton KM Performed - Mail,(000),"-","3","98","217","-"
9d,Ton KM Performed - Total,(000),"-","-","29.064","17.601","22.494"
10,Available Ton KM,(000),"-","-","74.123","66.052","69.977"
11,Weight L/F,(%),"3","9,21","2","6,65","32,14"
