NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"3",".489","1","1.163","12.931"
2,Aircraft Departure,number,"85","3",".160","3",".666"
3,Aircraft Hours,number,"6132:56","4444:40","4878:35","15718:54","18285:05"
4,Passenger Carried,number,"165.170","38.036","110.308","724.327","907.582"
5,Freight Carried,ton,"30.238","22.834","22.705","26.729","34.471"
6,Passenger KM,(000),"552.338","136.026","394.227","2.556.411","3.193.005"
7,Available Seat KM,(000),"1.163.194","765.764","775.275","3.079.114","3.789.583"
8,Passenger L/F,(%),"0,85","8","3,02","8","4,26"
9a,Ton KM Performed - Passenger,(000),"2.472","12.526","37.435","241.480","302.225"
9b,Ton KM Performed - Freight,(000),"99.664","81.495","81.177","95.162","122.478"
9c,Ton KM Performed - Mail,(000),"72","2","37","3","13"
9d,Ton KM Performed - Total,(000),"152.801","94.541","118.884","336.879","425.016"
10,Available Ton KM,(000),"218.709","190.853","166.647","674.415","792.068"
11,Weight L/F,(%),"1,34","4","9,95","5","3,66"
