NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),".451","4",".101","4",".441"
2,Aircraft Departure,number,"37","1",".515","1",".645"
3,Aircraft Hours,number,"1280:27","247:54","2239:45","6314:22","6958:19"
4,Passenger Carried,number,"9.532","984:00","42.019","213.219","243.802"
5,Freight Carried,ton,"21","7","01","8","09"
6,Passenger KM,(000),"113.386","97","112.730","573.039","654.752"
7,Available Seat KM,(000),"178.277","68.220","298.885","859.631","933.471"
8,Passenger L/F,(%),"7,72","6","6,66","7","0,14"
9a,Ton KM Performed - Passenger,(000),"9",".086","4","6.417","53.037"
9b,Ton KM Performed - Freight,(000),".129","1",".882","2",".173"
9c,Ton KM Performed - Mail,(000),"-","-","5","-","-"
9d,Ton KM Performed - Total,(000),".748","1","0.220","48.299","55.210"
10,Available Ton KM,(000),".464","3","1.714","89.826","95.033"
11,Weight L/F,(%),"2,23","5","3,77","5","8,10"
