NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),".042","4",".948","5",".350"
2,Aircraft Departure,number,".070","1",".737","1",".878"
3,Aircraft Hours,number,"8328:34","4370:40","5791:25","9418:10","10257:05"
4,Passenger Carried,number,"153.164","16.957","101.123","349.683","392.765"
5,Freight Carried,ton,"31.235","18.964","17.075","15.843","19.939"
6,Passenger KM,(000),"450.405","48.294","287.515","996.227","1.118.873"
7,Available Seat KM,(000),"1.163.033","595.965","707.132","1.334.626","1.465.308"
8,Passenger L/F,(%),"0,66","7","4,64","7","6,36"
9a,Ton KM Performed - Passenger,(000),".684","2","7.889","96.634","108.534"
9b,Ton KM Performed - Freight,(000),"90.852","55.232","48.574","45.126","56.796"
9c,Ton KM Performed - Mail,(000),"86","3","98","3","18"
9d,Ton KM Performed - Total,(000),"129.295","60.375","76.849","142.158","165.648"
10,Available Ton KM,(000),"292.128","145.698","159.639","262.006","263.385"
11,Weight L/F,(%),"8,14","5","4,26","6","2,89"
