NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),".402","4",".364","6",".542"
2,Aircraft Departure,number,"14","9","74","1",".460"
3,Aircraft Hours,number,"2072:47","2447:05","1886:38","6083:07","9160:46"
4,Passenger Carried,number,"4.801","-","9","185.392","340.283"
5,Freight Carried,ton,"6",".303","9",".306","13.174"
6,Passenger KM,(000),"-","40","830.723","1",".525.264"
7,Available Seat KM,(000),"2",".604","994.362","1",".698.323"
8,Passenger L/F,(%),"1,54","8","3,54","8","9,81"
9a,Ton KM Performed - Passenger,(000),"2.547","-","-","72.881","135.763"
9b,Ton KM Performed - Freight,(000),"14.690","41.237","28.161","41.729","59.081"
9c,Ton KM Performed - Mail,(000),"29","11","63","6","8"
9d,Ton KM Performed - Total,(000),"27.237","41.266","28.172","114.673","194.912"
10,Available Ton KM,(000),"73.428","89.497","65.679","191.069","291.990"
11,Weight L/F,(%),"2,89","6","0,02","6","6,75"
