NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"19","5",".502","1","1.538"
2,Aircraft Departure,number,"86","1",".723","3",".628"
3,Aircraft Hours,number,"2590:48","919:00","948:47","8623:05","18177:25"
4,Passenger Carried,number,"5.297","25.553","28.760","302.372","616.505"
5,Freight Carried,ton,".677","4",".541","4",".747"
6,Passenger KM,(000),"224.657","84.789","95.541","963.388","1.953.931"
7,Available Seat KM,(000),"380.340","168.738","163.750","1.170.885","2.279.762"
8,Passenger L/F,(%),"8,35","8","2,28","8","5,71"
9a,Ton KM Performed - Passenger,(000),"7",".166","7","2.254","142.983"
9b,Ton KM Performed - Freight,(000),"5",".574","1","5.086","15.767"
9c,Ton KM Performed - Mail,(000),"56","1","-","-","-"
9d,Ton KM Performed - Total,(000),"25.126","13.994","12.740","87.340","158.750"
10,Available Ton KM,(000),"44.364","28.935","26.788","153.397","273.579"
11,Weight L/F,(%),"7,56","5","6,94","5","8,03"
