NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"-","1","65","1",",103"
2,Aircraft Departure,number,"-","-","32","2","14"
3,Aircraft Hours,number,"0:00","0:00","0:00","336:00","2247:20"
4,Passenger Carried,number,"-","6",".940","4","3,920"
5,Freight Carried,ton,"-","-","95","1",",277"
6,Passenger KM,(000),"-","-","-","35.762","226,321"
7,Available Seat KM,(000),"-","-","-","50.953","340,746"
8,Passenger L/F,(%),"-","-","7","0,19","66,42"
9a,Ton KM Performed - Passenger,(000),"-","3",".004","1","9.011"
9b,Ton KM Performed - Freight,(000),"-","4","91","6",",570"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"-","3",".495","2","5,581"
10,Available Ton KM,(000),"-","8",".509","5","6,900"
11,Weight L/F,(%),"-","-","4","1,07","45"
