NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),".839","1","3.516","19.652","19.826"
2,Aircraft Departure,number,".963","2",".768","2",".792"
3,Aircraft Hours,number,"10782:17","8684:00","16634:35","23869:21:00","25778:09:00"
4,Passenger Carried,number,"262.853","173.989","666.378","1.058.154","1.088.128"
5,Freight Carried,ton,"11.643","20.263","17.417","15.765","19.915"
6,Passenger KM,(000),"1.731.949","1.138.394","4.625.476","7.591.155","7.831.317"
7,Available Seat KM,(000),"2.952.811","2.590.983","5.379.395","8.575.054","9.139.282"
8,Passenger L/F,(%),"5,99","8","8,53","8","5,69"
9a,Ton KM Performed - Passenger,(000),"147.216","97.151","396.259","671.798","692.281"
9b,Ton KM Performed - Freight,(000),"73.235","132.662","115.363","106.873","134.730"
9c,Ton KM Performed - Mail,(000),".362","9",".056","1","0.937"
9d,Ton KM Performed - Total,(000),"228.107","231.164","514.984","787.727","837.948"
10,Available Ton KM,(000),"520.138","428.892","854.259","1.367.160","1.518.829"
11,Weight L/F,(%),"0,28","5","7,62","5","5,00"
