NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),".705","1",".374","5","34"
2,Aircraft Departure,number,"92","3","26","3","92"
3,Aircraft Hours,number,"1328:24","3099:36","2260:12","3784:49","1176:00"
4,Passenger Carried,number,".658","1","0.167","29.901","36.813"
5,Freight Carried,ton,".524","1",".355","1",".461"
6,Passenger KM,(000),"64.839","51.063","89.574","112.403","50.204"
7,Available Seat KM,(000),"266.400","647.363","525.891","401.497","161.417"
8,Passenger L/F,(%),"7,03","2","8,00","3","1,10"
9a,Ton KM Performed - Passenger,(000),".165","8",".991","4",".016"
9b,Ton KM Performed - Freight,(000),"13.735","5",".498","1",".977"
9c,Ton KM Performed - Mail,(000),"4",".886","8","86","10"
9d,Ton KM Performed - Total,(000),"41.066","25.786","15.375","6",".003"
10,Available Ton KM,(000),"40.775","98.033","72.400","57.303","26.012"
11,Weight L/F,(%),"5,62","2","6,83","2","3,08"
