NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),".072","6",".389","9",".697"
2,Aircraft Departure,number,"28","9","17","1",".374"
3,Aircraft Hours,number,"5607:30","7129:55","6097:30","7679:30","11660:30"
4,Passenger Carried,number,"1.340","106.389","202.246","269.317","389.547"
5,Freight Carried,ton,".974","8",".208","1","2.340"
6,Passenger KM,(000),"636.640","741.531","1.409.591","1.877.140","2.748.987"
7,Available Seat KM,(000),"1.384.876","1.655.333","1.536.442","2.102.090","2.994.092"
8,Passenger L/F,(%),"1,74","8","9,30","9","1,81"
9a,Ton KM Performed - Passenger,(000),"9.208","68.962","131.092","174.574","255.660"
9b,Ton KM Performed - Freight,(000),"60.657","79.677","55.583","57.214","86.625"
9c,Ton KM Performed - Mail,(000),"64","1","05","1","71"
9d,Ton KM Performed - Total,(000),"120.356","149.559","187.439","231.893","342.456"
10,Available Ton KM,(000),"217.771","266.652","228.953","345.894","522.618"
11,Weight L/F,(%),"1,87","6","7,04","6","6,00"
