NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),".871","5",".581","5",".496"
2,Aircraft Departure,number,"33","1",".462","1",".457"
3,Aircraft Hours,number,"3129:24","1863:05","4167:15","8808:31","8782:16"
4,Passenger Carried,number,".236","7","4.272","367.602","368.075"
5,Freight Carried,ton,".395","1","1.074","15.208","20.172"
6,Passenger KM,(000),"424.929","40.275","571.615","1.402.811","1.397.197"
7,Available Seat KM,(000),"1.352.849","180.900","1.260.220","1.790.964","1.799.814"
8,Passenger L/F,(%),"5,36","7","8,33","7","7,63"
9a,Ton KM Performed - Passenger,(000),".340","4","8.586","119.238","118.748"
9b,Ton KM Performed - Freight,(000),"66.384","41.502","85.180","56.827","74.296"
9c,Ton KM Performed - Mail,(000),"54","81","1","07","68"
9d,Ton KM Performed - Total,(000),"100.913","43.896","133.847","176.172","193.112"
10,Available Ton KM,(000),"146.959","46.911","178.006","302.471","313.808"
11,Weight L/F,(%),"5,19","5","8,24","6","1,54"
