NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"21","4","29","3","47"
2,Aircraft Departure,number,"32","8","82","6","22"
3,Aircraft Hours,number,"163:20","0:00","42:40","904:30","778:40"
4,Passenger Carried,number,"3",".413","7","5.840","62.602"
5,Freight Carried,ton,"28","5","58","5","61"
6,Passenger KM,(000),"2",".257","3","7.227","34.506"
7,Available Seat KM,(000),"4",".028","8","0.660","50.159"
8,Passenger L/F,(%),"6,03","4","6,15","6","8,79"
9a,Ton KM Performed - Passenger,(000),"03","3",".360","3",".103"
9b,Ton KM Performed - Freight,(000),"19","2","82","3","17"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"22","3",".642","3",".420"
10,Available Ton KM,(000),"54","7",".043","4",".383"
11,Weight L/F,(%),"0,07","5","1,71","7","8,03"
