NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"27","-","-","-","-"
2,Aircraft Departure,number,"28","-","-","-","-"
3,Aircraft Hours,number,"282:20","0:00","0:00","00:00","00:00"
4,Passenger Carried,number,".132","-","-","-","-"
5,Freight Carried,ton,"-","-","-","-","-"
6,Passenger KM,(000),"73.877","-","-","-","-"
7,Available Seat KM,(000),"113.722","-","-","-","-"
8,Passenger L/F,(%),"4,96","-","-","-","-"
9a,Ton KM Performed - Passenger,(000),".577","-","-","-","-"
9b,Ton KM Performed - Freight,(000),"-","-","-","-","-"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),".577","-","-","-","-"
10,Available Ton KM,(000),"13.619","-","-","-","-"
11,Weight L/F,(%),"8,29","-","-","-","-"
