NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"-","1",".310","2",".485"
2,Aircraft Departure,number,"-","3","84","7","28"
3,Aircraft Hours,number,"991:00","0:00","0:00","1856:00:00","3518:40:00"
4,Passenger Carried,number,"4.122","-","-","93.651","166.576"
5,Freight Carried,ton,"-","1",".677","5",".328"
6,Passenger KM,(000),"118.062","-","-","320.004","568.884"
7,Available Seat KM,(000),"167.692","-","-","383.134","704.215"
8,Passenger L/F,(%),"-","8","3,52","8","0,78"
9a,Ton KM Performed - Passenger,(000),".042","-","-","25.600","45.510"
9b,Ton KM Performed - Freight,(000),"-","5",".730","1","8.159"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"12.799","-","-","31.330","63.669"
10,Available Ton KM,(000),"107.814","-","-","64.241","115.894"
11,Weight L/F,(%),"-","4","8,77","5","5,00"
