NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"-","-","1",".417","6,067"
2,Aircraft Departure,number,"-","-","294","1",",234"
3,Aircraft Hours,number,"0:00","0:00","0:00","1836:30","8107:35"
4,Passenger Carried,number,"-","-","-","39.727","205,034"
5,Freight Carried,ton,"-","1","9","2","2"
6,Passenger KM,(000),"-","-","-","191.524","1.008.238"
7,Available Seat KM,(000),"-","-","-","252.302","1.127.214"
8,Passenger L/F,(%),"-","-","7","5,91","89,45"
9a,Ton KM Performed - Passenger,(000),"-","-","-","17.811","93.766"
9b,Ton KM Performed - Freight,(000),"-","-","8","9","111"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"-","-","-","17.900","93,877"
10,Available Ton KM,(000),"-","-","-","25.299","108,316"
11,Weight L/F,(%),"-","-","7","0,75","87,00"
