NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),".109","8",".162","6",",873"
2,Aircraft Departure,number,".223","1",".404","1",",183"
3,Aircraft Hours,number,"5585:40","6840:00","9172:31","10530:00","8872:30"
4,Passenger Carried,number,"2.182","43.058","149.936","204.294","174,106"
5,Freight Carried,ton,"11.580","16.533","13.795","11.589","10,141"
6,Passenger KM,(000),"361.345","250.210","871.559","1.187.571","1.011.737"
7,Available Seat KM,(000),"892.826","825.017","1.344.984","1.622.641","1.333.612"
8,Passenger L/F,(%),"6","4,80","7","3,19","75,86"
9a,Ton KM Performed - Passenger,(000),"8.908","20.017","69.725","94.966","80.946"
9b,Ton KM Performed - Freight,(000),"67.290","96.073","80.191","67.368","58,927"
9c,Ton KM Performed - Mail,(000),".005","2",".071","1",",990"
9d,Ton KM Performed - Total,(000),"98.465","118.397","151.921","164.405","141,863"
10,Available Ton KM,(000),"145.710","193.623","278.105","320.150","263,539"
11,Weight L/F,(%),"5","4,63","5","1,35","54"
