NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"-","-","-","1",".054"
2,Aircraft Departure,number,"-","-","-","2","10"
3,Aircraft Hours,number,"-","-","-","-","1344:00"
4,Passenger Carried,number,"-","-","-","-","26.366"
5,Freight Carried,ton,"-","-","-","2","47"
6,Passenger KM,(000),"-","-","-","-","134.939"
7,Available Seat KM,(000),"-","-","-","-","194.068"
8,Passenger L/F,(%),"-","-","-","6","9,53"
9a,Ton KM Performed - Passenger,(000),"-","-","-","-","10.642"
9b,Ton KM Performed - Freight,(000),"-","-","-","1",".252"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"-","-","-","-","11.894"
10,Available Ton KM,(000),"-","-","-","-","17.918"
11,Weight L/F,(%),"-","-","-","6","6,38"
