NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),".910","-","14.565","28.508","31.429"
2,Aircraft Departure,number,".111","7",".832","8",".398"
3,Aircraft Hours,number,"13781:10","0:00","19729:30","38203:35","42591:30"
4,Passenger Carried,number,"490.380","-","891.397","1.651.602","1.773.552"
5,Freight Carried,ton,".878","2",".823","1",".199"
6,Passenger KM,(000),"1.786.439","-","3.375.234","6.294.101","6.799.562"
7,Available Seat KM,(000),"2.586.106","-","3.828.723","7.009.389","7.393.013"
8,Passenger L/F,(%),"8,16","8","9,80","9","1,97"
9a,Ton KM Performed - Passenger,(000),"182.217","-","332.869","566.469","611.960"
9b,Ton KM Performed - Freight,(000),".296","1","2.549","5",".110"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"185.799","-","341.165","579.018","617.071"
10,Available Ton KM,(000),"297.051","-","471.592","798.224","787.670"
11,Weight L/F,(%),"2,34","7","2,54","7","8,34"
