NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"2",".772","4",".518","4.954"
2,Aircraft Departure,number,"2",".352","3",".488","3.820"
3,Aircraft Hours,number,"3338:52","1820:00","4942:10","7938:50","8702:45"
4,Passenger Carried,number,"193.574","56.548","350.157","521.629","588.459"
5,Freight Carried,ton,"2",".049","1",".334","983"
6,Passenger KM,(000),"219.367","57.341","419.629","677.917","766.476"
7,Available Seat KM,(000),"337.035","224.690","499.250","813.310","891.770"
8,Passenger L/F,(%),"8","4,05","8","3,35","85,95"
9a,Ton KM Performed - Passenger,(000),".161","3","3.747","54.233","61.318"
9b,Ton KM Performed - Freight,(000),"2",".221","1",".594","1.219"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),".348","3","5.968","55.827","62.537"
10,Available Ton KM,(000),"35.576","23.780","52.699","85.850","94.132"
11,Weight L/F,(%),"0,90","6","8,25","65,03","66,44"
