NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"-","-","-","3",".478"
2,Aircraft Departure,number,"-","-","-","6","82"
3,Aircraft Hours,number,"0:00","0:00","0:00","0:00","4206:01"
4,Passenger Carried,number,"-","-","-","-","103.454"
5,Freight Carried,ton,"-","-","-","1",".103"
6,Passenger KM,(000),"-","-","-","-","527.612"
7,Available Seat KM,(000),"-","-","-","-","684.660"
8,Passenger L/F,(%),"-","-","-","7","7,06"
9a,Ton KM Performed - Passenger,(000),"-","-","-","-","42.934"
9b,Ton KM Performed - Freight,(000),"-","-","-","5",".633"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"-","-","-","-","48.567"
10,Available Ton KM,(000),"-","-","-","-","51.507"
11,Weight L/F,(%),"-","-","-","9","4,29"
