NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),".167","3","90","4","72"
2,Aircraft Departure,number,"56","4","30","5","21"
3,Aircraft Hours,number,"1643:10","1593:30","1709:00","646:00","781:30"
4,Passenger Carried,number,"-","-","-","-","9"
5,Freight Carried,ton,"11.245","5",".735","6",".708"
6,Passenger KM,(000),"-","-","-","-","8"
7,Available Seat KM,(000),"-","-","-","-","-"
8,Passenger L/F,(%),")","-","-","-","-"
9a,Ton KM Performed - Passenger,(000),"-","-","-","-","-"
9b,Ton KM Performed - Freight,(000),"14.504","5",".194","6",".051"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"14.504","5",".194","6",".051"
10,Available Ton KM,(000),"22.199","7",".405","8",".929"
11,Weight L/F,(%),"5,34","7","0,14","6","8,00"
