NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),".163","1",".306","1",".769"
2,Aircraft Departure,number,".048","9","07","1",".246"
3,Aircraft Hours,number,"2495:39","4312:09","7924:14","1952:15","2798:45"
4,Passenger Carried,number,"2.713","41.974","275.863","242.448","351.963"
5,Freight Carried,ton,".480","8","66","1",".039"
6,Passenger KM,(000),"199.827","315.116","1.584.808","361.017","519.700"
7,Available Seat KM,(000),"580.428","1.340.194","2.379.383","499.542","635.196"
8,Passenger L/F,(%),"6,61","7","2,27","8","1,82"
9a,Ton KM Performed - Passenger,(000),"9.187","25.209","126.785","28.882","41.831"
9b,Ton KM Performed - Freight,(000),"38.372","8","14","1",".118"
9c,Ton KM Performed - Mail,(000),"40","8","56","-","2"
9d,Ton KM Performed - Total,(000),"26.205","95.416","166.013","29.696","42.951"
10,Available Ton KM,(000),"103.285","814.524","1.318.838","282.208","375.120"
11,Weight L/F,(%),"2,59","1","0,52","1","1,00"
