NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),".026","5","15","3","38"
2,Aircraft Departure,number,"06","1","51","1","00"
3,Aircraft Hours,number,"1558:00","1660:00","1530:00","757:00","500:00"
4,Passenger Carried,number,"-","-","-","-","-"
5,Freight Carried,ton,".082","3",".938","3",".593"
6,Passenger KM,(000),"-","-","-","-","-"
7,Available Seat KM,(000),"60","-","-","-","-"
8,Passenger L/F,(%),")","-","-","-","-"
9a,Ton KM Performed - Passenger,(000),"-","-","-","-","-"
9b,Ton KM Performed - Freight,(000),"45.169","43.024","33.795","15.604","13.866"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"45.169","43.024","33.795","15.604","13.866"
10,Available Ton KM,(000),"98.140","96.319","89.563","44.087","28.872"
11,Weight L/F,(%),"7,73","3","5,39","4","8,00"
