NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),".845","8",".921","1","0.170"
2,Aircraft Departure,number,".110","1",".696","1",".935"
3,Aircraft Hours,number,"6110:50","7750:00","7763:00","11872:24","13549:18"
4,Passenger Carried,number,"1.441","30.699","209.158","430.290","479.404"
5,Freight Carried,ton,".298","4",".794","7",".478"
6,Passenger KM,(000),"481.086","162.398","1.101.232","2.262.595","2.519.626"
7,Available Seat KM,(000),"866.136","538.205","1.368.243","2.514.697","2.905.020"
8,Passenger L/F,(%),"0,49","8","9,97","8","6,73"
9a,Ton KM Performed - Passenger,(000),"3.176","33","41.689","109.069","131.282"
9b,Ton KM Performed - Freight,(000),"79.176","121.337","43.891","25.344","39.524"
9c,Ton KM Performed - Mail,(000),".758","3",".974","1",".828"
9d,Ton KM Performed - Total,(000),"113.128","124.337","89.338","138.387","172.634"
10,Available Ton KM,(000),"321.467","379.635","332.708","515.259","576.866"
11,Weight L/F,(%),"6,85","2","6,86","3","0,00"
